ISBN,Publisher,Dewey,LC,Title,Number of Pages,Publish Place,Subject Place,Subject,Publish Date,on_NYT,publisher_id,publishplace_id,dewey_id,publisher_freq,publish_place_freq,dewey_freq,Author,author_id,author_frequency
1400052920,Harmony Books,823/.914,PR6051.D3352 H5 1979,The hitchhiker's guide to the galaxy,215,New York,0.2,30.7,2004,0,124,270,324,0,729,89,Douglas Adams,2158,0
076790818X,Broadway Books,500,Q162 .B88 2004,A short history of nearly everything,544,New York,1,0.55,2004,0,479,270,275,0,729,0,Bill Bryson,1091,0
076790382X,Broadway,,,I'm a stranger here myself,304,,0,3,2000,0,1545,0,0,0,0,0,Bill Bryson,1091,0
193337201X,Europa Editions,,,Cooking With Fernet Branca,281,,0,19,2005,0,1493,0,0,0,0,0,James Hamilton-Paterson,621,0
097669400X,Pragmatic Bookshelf,,,Agile web development with rails,558,"Raleigh, N.C",0,80.28571429,2005,0,1049,295,0,0,0,0,Dave Thomas,1704,0
1557344493,Teacher Created Resources,,,A Guide for Using Hatchet in the Classroom,48,,0,0,2004,0,330,0,0,0,0,0,Gary Paulsen,1134,0
1575606240,Cherry Lane Music,,,Molly Hatchet - 5 of the Best,56,,0,0,2003,0,1522,0,0,0,0,0,Molly Hatchet,1612,0
1595580271,New Press,,,Hatchet Jobs,240,,0,134,2005,0,1349,0,0,0,0,0,Dale Peck,820,0
1595962808,Changeling Press LLC,,,A Changeling For All Seasons,304,,0,0,2005,0,1077,0,0,0,0,0,Angela Knight,2263,0
1590301943,Shambhala,,,The Changeling,352,,0,0,2005,0,1289,0,0,0,0,0,Kate Horsley,280,0
006076273X,HarperAudio,,,The Known World CD,,,0,167,2004,0,1007,0,0,0,0,0,Edward P. Jones,1930,0
1932386106,Archaia Studio Press,,,Artesia,352,,0,0,2005,0,1385,0,0,0,0,0,Mark S. Smylie,725,0
1596670231,"Eye on Education,",,,Active Literacy Across the Curriculum,138,,0,0,2006,0,1456,0,0,0,0,0,Heidi Hayes Jacobs,1341,0
1581807740,North Light Books,745.594/2,TT860 .B688 2006,Simply beautiful beaded jewelry,,"Cincinnati, Ohio",0,0,2006,0,156,287,312,0,0,0,Heidi Boyd,2108,0
1852402873,Sovereign Publishing,,,There's Always Enough,192,,0,0,2003,0,735,0,0,0,0,0,,0,0
1581805632,North Light Books,,,Simply beautiful beading,127,"Cincinnati, Ohio",0,0,2004,0,156,287,0,0,0,0,Heidi Boyd,2108,0
034541005X,Ballantine Books,823,PR9619.3.C5964 P69 1996,The  power of one,518,New York,0,47.78571429,1996,0,449,270,247,59,729,1,Bryce Courtenay,2230,0
006076287X,Perennial Currents,658.8/7,HF5478 .G56 2005,"How to buy, sell and profit on eBay",317,New York,0,70.25,2005,0,1012,270,158,0,729,0,Adam Ginsberg,126,0
1593080271,Barnes & Noble Classics,891.73/3,PG3366 .A6 2003,Anna Karenina,803,New York,1,7.631578947,2003,0,1520,270,454,0,729,0,Tolstoy,911,0
1593081774,Barnes & Noble Classics,,,Anna Karenina (Barnes & Noble Classics),803,,0,0,2004,0,1520,0,0,0,0,0,,0,0
1568491980,Buccaneer Books,,,The Untouchables,,,0,0,1993,0,514,0,0,0,0,0,,0,0
1557344035,Teacher Created Materials,,,A guide for using A wrinkle in time in the classroom,48,"Westminster, Calif",0,0,2000,0,1450,123,0,0,0,0,John Carratello,168,0
043927169X,Scholastic Professional Books,,,Literature Circle Guide,32,,0,0,2002,0,1206,0,0,0,0,0,Tara McCarthy,1226,0
006078671X,William Morrow,813/.54,PS3570.O37 L66 2006,A long shadow,341,New York,25,99.28571429,2006,0,1614,270,345,65,729,667,Charles Todd,193,2
1400032490,Vintage Crime/Black Lizard,813/.54,PS3545.I464 N4 2004,New hope for the dead,244,New York,5.333333333,108.8333333,2004,0,1554,270,345,0,729,667,Charles Ray Willeford,568,0
1400032482,Vintage Books,813/.54,PS3545.I464 S5 2005,Sideswipe,215,New York,5.333333333,30.33333333,2005,0,940,270,345,0,729,667,Charles Ray Willeford,568,0
1400032466,Vintage Books,813/.54,PS3545.I464 M5 2004,Miami blues,191,New York,5.333333333,93.71428571,2004,0,940,270,345,0,729,667,Charles Ray Willeford,568,0
080213016X,,,,Quiet days in Clichy,154,New York,0,0,,0,0,270,0,0,729,0,Henry Miller,1237,0
1593080964,Barnes & Noble Classics,,,The Portrait of a Lady (Barnes & Noble Classics Series) (Barnes & Noble Classics),672,,0,0,2004,0,1520,0,0,0,0,0,,0,0
1565842219,New Press,,,The War,192,,0,52.625,1994,0,1349,0,0,0,0,0,"Duras, Marguerite.",1214,0
080215154X,Grove Press,,,"Destroy, she said ; Destruction and language",,New York,0,0,1986,0,1252,270,0,0,729,0,Marguerite Duras,636,0
2070388093,Gallimard,,,L' amant de la Chine du Nord,,[Paris],0,0,1991,0,721,262,0,0,0,0,Marguerite Duras,636,0
1851681825,Oneworld,892.76,,Love letters,178,"Oxford, England",17.5,0.666666667,1999,0,402,36,176,0,0,0,Kahlil Gibran,1698,0
156656249X,Interlink Publishing Group,,,Kahlil Gibran,456,,0,0,1998,0,1082,0,0,0,0,0,,0,0
014019553X,Arkana Penguin Books,892.71/5,PJ7826.I2 A277 1997,The beloved,101,London,0,0.6,1997,0,355,188,147,0,0,0,Kahlil Gibran,1698,0
067943920X,Knopf,,,Sand and Foam (Kahlil Gibran Pocket Library),96,,0,0,1995,0,1147,0,0,13,0,0,Kahlil Gibran,1698,0
1402714572,Sterling,,,Treasure Island (Unabridged Classics),232,,0,11.1,2004,0,145,0,0,0,0,0,Robert Louis Stevenson,1613,0
1416500294,Pocket,,,Treasure Island (Enriched Classics),304,,0,11.1,2005,0,696,0,0,1,0,0,Robert Louis Stevenson,1613,0
1577658051,ABDO Pub.,[Fic],PZ7.S8482 Ts 2002,Treasure Island,232,"Edina, Minn",0,11.1,2002,0,904,13,236,0,0,4,Robert Louis Stevenson,1613,0
