ISBN,Author,Publisher,Dewey,LC,Title,Number of Pages,Publish Place,Subject Place,Subject,Publish Date
1400052920,Douglas Adams,Harmony Books,823/.914,PR6051.D3352 H5 1979,The hitchhiker's guide to the galaxy,215,New York,0.2,30.7,2004
076790818X,Bill Bryson,Broadway Books,500,Q162 .B88 2004,A short history of nearly everything,544,New York,1.0,0.55,2004
076790382X,Bill Bryson,Broadway,nan,nan,I'm a stranger here myself,304,nan,0,3.0,2000
193337201X,James Hamilton-Paterson,Europa Editions,nan,nan,Cooking With Fernet Branca,281,nan,0,19.0,2005
097669400X,Dave Thomas,Pragmatic Bookshelf,nan,nan,Agile web development with rails,558,"Raleigh, N.C",0,80.28571428571429,2005
1557344493,Gary Paulsen,Teacher Created Resources,nan,nan,A Guide for Using Hatchet in the Classroom,48,nan,0,0,2004
1575606240,Molly Hatchet,Cherry Lane Music,nan,nan,Molly Hatchet - 5 of the Best,56,nan,0,0,2003
1595580271,Dale Peck,New Press,nan,nan,Hatchet Jobs,240,nan,0,134.0,2005
1595962808,Angela Knight,Changeling Press LLC,nan,nan,A Changeling For All Seasons,304,nan,0,0,2005
1590301943,Kate Horsley,Shambhala,nan,nan,The Changeling,352,nan,0,0,2005
006076273X,Edward P. Jones,HarperAudio,nan,nan,The Known World CD,nan,nan,0,167.0,2004
1932386106,Mark S. Smylie,Archaia Studio Press,nan,nan,Artesia,352,nan,0,0,2005
1596670231,Heidi Hayes Jacobs,"Eye on Education,",nan,nan,Active Literacy Across the Curriculum,138,nan,0,0.0,2006
1581807740,Heidi Boyd,North Light Books,745.594/2,TT860 .B688 2006,Simply beautiful beaded jewelry,nan,"Cincinnati, Ohio",0,0.0,2006
1852402873,nan,Sovereign Publishing,nan,nan,There's Always Enough,192,nan,0,0,2003
1581805632,Heidi Boyd,North Light Books,nan,nan,Simply beautiful beading,127,"Cincinnati, Ohio",0,0.0,2004
034541005X,Bryce Courtenay,Ballantine Books,823,PR9619.3.C5964 P69 1996,The  power of one,518,New York,0.0,47.785714285714285,1996
006076287X,Adam Ginsberg,Perennial Currents,658.8/7,HF5478 .G56 2005,"How to buy, sell and profit on eBay",317,New York,0,70.25,2005
1593080271,Tolstoy,Barnes & Noble Classics,891.73/3,PG3366 .A6 2003,Anna Karenina,803,New York,1.0,7.631578947368421,2003
1593081774,nan,Barnes & Noble Classics,nan,nan,Anna Karenina (Barnes & Noble Classics),803,nan,0,0,2004
1568491980,nan,Buccaneer Books,nan,nan,The Untouchables,nan,nan,0,0,1993
1557344035,John Carratello,Teacher Created Materials,nan,nan,A guide for using A wrinkle in time in the classroom,48,"Westminster, Calif",0,0.0,2000
043927169X,Tara McCarthy,Scholastic Professional Books,nan,nan,Literature Circle Guide,32,nan,0,0,2002
006078671X,Charles Todd,William Morrow,813/.54,PS3570.O37 L66 2006,A long shadow,341,New York,25.0,99.28571428571429,2006
1400032490,Charles Ray Willeford,Vintage Crime/Black Lizard,813/.54,PS3545.I464 N4 2004,New hope for the dead,244,New York,5.333333333333333,108.83333333333333,2004
1400032482,Charles Ray Willeford,Vintage Books,813/.54,PS3545.I464 S5 2005,Sideswipe,215,New York,5.333333333333333,30.333333333333332,2005
1400032466,Charles Ray Willeford,Vintage Books,813/.54,PS3545.I464 M5 2004,Miami blues,191,New York,5.333333333333333,93.71428571428571,2004
080213016X,Henry Miller,nan,nan,nan,Quiet days in Clichy,154,New York,0,0.0,nan
1593080964,nan,Barnes & Noble Classics,nan,nan,The Portrait of a Lady (Barnes & Noble Classics Series) (Barnes & Noble Classics),672,nan,0,0,2004
1565842219,"Duras, Marguerite.",New Press,nan,nan,The War,192,nan,0,52.625,1994
080215154X,Marguerite Duras,Grove Press,nan,nan,"Destroy, she said ; Destruction and language",nan,New York,0,0,1986
2070388093,Marguerite Duras,Gallimard,nan,nan,L' amant de la Chine du Nord,nan,[Paris],0,0,1991
1851681825,Kahlil Gibran,Oneworld,892.76,nan,Love letters,178,"Oxford, England",17.5,0.6666666666666666,1999
156656249X,nan,Interlink Publishing Group,nan,nan,Kahlil Gibran,456,nan,0,0,1998
014019553X,Kahlil Gibran,Arkana Penguin Books,892.71/5,PJ7826.I2 A277 1997,The beloved,101,London,0,0.6,1997
067943920X,Kahlil Gibran,Knopf,nan,nan,Sand and Foam (Kahlil Gibran Pocket Library),96,nan,0,0,1995
1402714572,Robert Louis Stevenson,Sterling,nan,nan,Treasure Island (Unabridged Classics),232,nan,0,11.1,2004
1416500294,Robert Louis Stevenson,Pocket,nan,nan,Treasure Island (Enriched Classics),304,nan,0,11.1,2005
1577658051,Robert Louis Stevenson,ABDO Pub.,[Fic],PZ7.S8482 Ts 2002,Treasure Island,232,"Edina, Minn",0,11.1,2002
037576013X,George Eliot,Modern Library,823/.8,PR4658 .A1 2002,Daniel Deronda,796,New York,59.0,6.666666666666667,2002
8423919005,Gabriel Garcia Márquez,Elliot's Books,nan,nan,"Cien Años de Soledad/ 100 Years of Solitude (Nueva Austral Series, Vol. 100)",448,nan,0,167.0,1982
8432216062,Patrick Süskind,Seix Barral,nan,nan,El perfume,nan,Barcelona,0,0,2001
1582881847,Robert A. Heinlein,Science Fiction Book Club,nan,nan,Off the Main Sequence,738,"New York, NY",0,167.0,2005
074348844X,Robert A. Heinlein,Baen,nan,nan,The Notebooks of Lazarus Long,64,nan,0,0,2004
1417622857,Douglas Adams,Tandem Library,nan,nan,Salmon Of Doubt,nan,nan,0,4.0,2003
159420120X,Thomas Pynchon,The Penguin Press,nan,nan,Against the Day,1085,nan,0,48.142857142857146,2006
140004314X,Joan Didion,A. A. Knopf,813/.54,PS3554.I33 Z63 2005,The year of magical thinking,227,New York,35.0,4.2592592592592595,2005
014009735X,Paul Auster,Penguin Books,813/.54,PS3551.U77 G46 1987,Ghosts,96,"New York, N.Y., U.S.A",39.0,10.0,1987
038077108X,Paul Karasik,Avon Books,741.5/973,PN6727.K275 P38 1994,Paul Auster's City of glass,129,New York,0,167.0,1994
2742741461,Paul Auster,Actes Sud,nan,nan,Paul Auster,1075,nan,0,0,2002
1886224145,Paul Auster,Burning Deck,813/.54,PS3551.U77 Z462 1996,Why write?,58,Providence,0,1.0,1996
052138673X,Joseph A. Tainter,Cambridge University Press,nan,nan,The collapse of complex societies.,250,Cambridge,0.0,0.5,1990
034543871X,Philip K. Howard,Ballantine Books,nan,nan,The Collapse of the Common Good,272,nan,0,0.0,2002
1599869942,Nikola Tesla,"Filiquarian Publishing, LLC.",nan,nan,My Inventions,88,nan,11.666666666666666,25.4,2006
159413023X,Alice Sebold,Large Print Press,813/.6,PS3619.E26 L68 2004,The lovely bones,532,"Waterville, ME",0,14.238095238095237,2004
3822840858,Michael Ochs,Taschen,nan,nan,1000 Record Covers,576,nan,0,0,2005
185960515X,John Harold Haynes,Haynes Pub.,nan,TL444 .C67 2002,Motorcycle basics techbook,nan,"Sparkford, Nr Yeovil, Somerset, England",0,41.75,2002
1592530877,nan,Rockport Publishers,nan,nan,Logo Lounge,192,nan,0,0,2004
1592283195,Christopher Caswell,Lyon's Press,823.008/032162,PR1309.S4 G85 2004,The greatest sailing stories ever told,nan,"Guilford, Conn",0,0.25,2004
019517013X,Thomas E. Skidmore,Oxford University Press,980,F1413 .S55 2005,Modern Latin America,512,New York,0.0,80.875,2005
1400079497,Philip Roth,Houghton Mifflin Co.,813/.54,PS3568.O855 P58 2004,The Plot Against America,391,"Boston, USA",3.5294117647058822,23.11764705882353,2004
1400034957,Gabriel Garcia Márquez,Vintage,nan,nan,Cronica de una muerte anunciada,128,nan,0.0,35.0,2003
140003454X,Gabriel Garcia Márquez,Vintage Books,863/.64,PQ8180.17.A73 Z47813 2003,Living to tell the tale,533,New York,0,36.72727272727273,2004
1400095808,Gabriel Garcia Márquez,Vintage Español,nan,PQ8180.17.A73 M46 2004,Memoria de mis putas tristes,112,"New York, USA",0.0,1.4782608695652173,2004
086171492X,Kō̜. Khaosūanlūang,Wisdom Publications,294.3/444,BQ5625 .K65 2005,Pure and simple,252,Boston,0,41.75,2005
184353584X,Rob Humphreys,Rough Guides,nan,nan,"The Rough Guide London Mini Guide,  Edition 4",352,nan,0,0,2006
1740598318,nan,Lonely Planet Publications,nan,nan,Lonely Planet London,466,nan,0,0,2006
1740594770,Sarah Johnstone,Lonely Planet Publications,nan,nan,Lonely Planet Best Of London (Lonely Planet Encounter London),128,nan,0,0,2004
186450353X,Steve Fallon,Lonely Planet Publications,nan,nan,Lonely Planet London,400,nan,0,402.0,2002
8408064762,nan,Geo-Planeta,nan,nan,Lonely Planet Londres (Lonely Planet London),480,nan,0,0,2006
1740592050,Mark Honan,Lonely Planet Publications,nan,nan,Lonely Planet 2002 Out to Eat London (Out to Eat),295,nan,0,0,2001
2228894699,Neal Stephenson,Payot,nan,nan,"Cryptonomicon, tome 3 ",417,nan,0,0,2001
2228894168,Neal Stephenson,Payot,nan,nan,"Cryptonomicon, tome 2 ",418,nan,0,0,2001
344245302X,Neal Stephenson,Goldmann,nan,nan,Snow Crash.,534,nan,0.0,12.125,2002
1880685353,Dan Harrington,Two Plus Two Pub.,795.412,GV1251 .H236 2004,Harrington on hold 'em,nan,"Henderson, Nev",0,0.0,2004
1880685337,Dan Harrington,Two Plus Two Pub.,795.412,GV1251 .H236 2004,Harrington on hold 'em,nan,"Henderson, Nev",0,0.0,2004
142150460X,Hiromu Arakawa,Viz Media,nan,nan,Fullmetal Alchemist.,176,San Francisco,0,2.5,2006
1591169259,Hiromu Arakawa,Viz,741.5973,nan,Fullmetal Alchemist Volume 1,nan,San Francisco,0,27.375,2005
1421504596,Hiromu Arakawa,Viz Media,nan,nan,Fullmetal Alchemist.,164,San Francisco,0,2.5,2006
1591169208,Hiromu Arakawa,Viz,741.5973,nan,Fullmetal Alchemist Volume 1,nan,San Francisco,0,27.375,2005
1591169291,Hiromu Arakawa,VIZ Media LLC,nan,nan,Fullmetal Alchemist Volume 4,200,nan,0,4.666666666666667,2005
006019250X,Paulo Coelho,HarperFlamingo,869.3,PQ9698.13.O3546 A4513 1998,The illustrated Alchemist,198,"New York, NY",0,167.0,1998
1591169232,Hiromu Arakawa,Viz,741.5/952,PN6790.J33 A74 2005,Fullmetal Alchemist Volume 2,179,San Francisco,0,27.375,2005
158715739X,Edward Bulwer Lytton,Wildside Press,nan,nan,The Last Days of Pompeii,360,nan,0.0,81.42857142857143,2003
014240120X,Ellen Raskin,Puffin,nan,nan,The Westing Game (Puffin Modern Classics),192,nan,6.0,20.384615384615383,2004
1400096898,Arthur Golden,Vintage,nan,nan,Memoirs of a Geisha,512,nan,0,284.5,2005
1557046832,"James, David",Newmarket Press,791.43/72,PN1997.2.M45 J36 2005,Memoirs of a geisha,144,New York,0,83.5,2005
074343059X,nan,Pocket Books,nan,nan,Geisha of Gion,304,nan,0,0,2003
1932664394,nan,Oni Press,nan,nan,Love As A Foreign Language #5 (Love as a Foreign Language),64,nan,0,0,2006
1416524797,Dan Brown,Pocket Books,813/.54,PS3552.R685434 A82 2006,Angels & Demons,713,"New York, USA",0.8181818181818182,20.637931034482758,2006
849561877X,Dan Brown,Umbriel,nan,nan,Angeles y Demonios/Angels and Demons,508,nan,0.8181818181818182,20.637931034482758,2005
076792603X,Dan Brown,Broadway Books,813/.54,2004055276,The Da Vinci Code,467,"New York, USA",3.2142857142857144,17.96153846153846,2004
2266144340,Dan Brown,JC Lattes,nan,nan,Da Vinci Code,nan,nan,3.2142857142857144,17.96153846153846,nan
1416524800,Dan Brown,Pocket Books,nan,nan,Deception Point,737,"New York, USA",9.0,21.0,2006
9953299072,Dan Brown,al-Dār al-ʻArabīyah lil-ʻulūm,nan,nan,Ḥaqīqat al-khadīʻah =,471,"Bayrūt, Lubnān",9.0,21.0,2005
1416524886,Dan Brown,Pocket Books,nan,nan,Deception Point,736,"New York, USA",9.0,21.0,2006
