Fiction,1334
Protected DAISY,436
In library,402
New York Times bestseller,254
OverDrive,245
Internet Archive Wishlist,167
Accessible book,160
Murder,145
Investigation,141
Amerikanisches Englisch,132
Large type books,115
FICTION,112
Police,91
History,85
Roman,81
Private investigators,79
Suspense,78
Thriller,65
Crimes against,62
Literature,57
United States,54
Romance,52
Family secrets,50
Intelligence officers,46
Vampires,43
Families,42
Mystery fiction,41
Suspense fiction,38
Thrillers,38
General,38
Kriminalroman,38
Missing persons,37
Mystery,37
Women private investigators,37
Life change events,35
Fantasy,35
Women detectives,34
Man-woman relationships,33
Kidnapping,32
Secrets,32
FICTION / Thrillers,31
FICTION / Suspense,31
City and town life,30
Mothers and daughters,30
Female friendship,29
FICTION / Literary,29
Young women,28
Policewomen,28
Detective and mystery stories,27
Serial murderers,27
Mystery & Detective,27
Terrorism,25
Conspiracies,24
Americans,23
Literary,22
Sisters,22
Homicide,22
Women,21
Prevention,21
FICTION / Mystery & Detective / General,21
FICTION / General,21
Werewolves,20
Fathers and sons,19
United States. Federal Bureau of Investigation,19
Friendship,19
"World War, 1939-1945",18
Assassins,18
Government investigators,18
Widows,17
Journalists,17
Space warfare,17
Good and evil,17
Stone Barrington (Fictitious character),17
Secrecy,16
Serial murder investigation,16
Family life,16
Imaginary wars and battles,15
Magic,15
Life on other planets,15
Social life and customs,15
Criminal investigation,15
Cold cases (Criminal investigation),15
Survival,15
Revenge,14
Witches,14
Contemporary Women,14
Popular Print Disabled Books,13
Domestic fiction,13
Loss (Psychology),13
Historical Fiction,13
fiction,13
Teenage girls,13
Love stories,13
FICTION / Contemporary Women,13
FICTION / Historical,13
Historical,13
Patients,12
Rich people,12
Fathers and daughters,12
Veterans,12
Science Fiction,12
Death,12
Brothers,12
United States. Central Intelligence Agency,12
Spy stories,12
Interpersonal relations,12
Married people,11
Physicians,11
Undercover operations,11
Self-realization in women,11
Eve Dallas (Fictitious character),11
Identity (Psychology),11
Psychological fiction,10
Political fiction,10
Women bounty hunters,10
Terrorists,10
Officials and employees,10
Sheriffs,10
Drug traffic,10
Women journalists,10
Bakers,10
Betrayal,9
Lucas Davenport (Fictitious character),9
Brothers and sisters,9
Science fiction,9
nyt:combined_print_fiction=2012-03-03,9
Witnesses,9
Marine biologists,9
Organized crime,9
Public prosecutors,9
Detectives,9
Serial murders,9
Adventure fiction,9
Authors,9
Trials (Murder),9
Paranormal fiction,9
Eve Duncan (Fictitious character),9
Sagas,9
Contemporary,9
Triangles (Interpersonal relations),8
Dogs,8
Corrupt practices,8
Weddings,8
Single mothers,8
Historical fiction,8
Regression (Civilization),8
Medical examiners (Law),8
Detective and mystery fiction,8
Women physicians,8
Forensic pathologists,8
Serial killers,8
Women lawyers,8
Marriage,8
Treasure troves,8
Psychopaths,8
Women Sleuths,8
International relations,7
American Short stories,7
Dysfunctional families,7
Stephanie Plum (Fictitious character),7
Dillon Savich (Fictitious character),7
Lacey Sherlock (Fictitious character),7
Inheritance and succession,7
Clergy,7
Quilting,7
Quiltmakers,7
Quests (Expeditions),7
Milo Sturgis (Fictitious character),7
Alex Delaware (Fictitious character),7
Spenser (Fictitious character),7
"World War, 1914-1918",7
Kay Scarpetta (Fictitious character),7
