ISBN,Title,FirstDate,LastDate
1620408937,THE MIME ORDER,2/15/2015,Not Found
1400066247,EMPIRES OF THE SEA,8/10/2008,Not Found
1401323235,MAKING ROUNDS WITH OSCAR,2/21/2010,4/10/2016
385524072,RULES OF VENGEANCE,8/23/2009,8/30/2009
1476704643,LEAVING BERLIN,3/22/2015,4/19/2015
525952780,SOLDIER DOGS,4/15/2012,4/10/2016
312547749,"THE WALKING DEAD, RISE OF THE GOVERNOR",11/4/2012,Not Found
345497929,NO LESS THAN VICTORY,11/22/2009,11/29/2009
61969672,1356,1/27/2013,2/3/2013
1594488398,THE INTERESTINGS,4/28/2013,5/26/2013
052595239X,DOWN THE DARKEST ROAD,1/15/2012,1/22/2012
052595452X,NO HERO,11/30/2014,4/10/2016
1250083311,LEONARD,3/6/2016,4/10/2016
159420537X,IT&#39;S WHAT I DO,3/1/2015,4/10/2016
385538898,THE GUEST ROOM,1/24/2016,2/14/2016
399165150,GARDEN OF LIES,5/10/2015,5/17/2015
1451694148,THE FIFTH GOSPEL,3/22/2015,5/10/2015
385533039,DOOMED,10/27/2013,Not Found
61702560,HANGMAN,8/22/2010,8/29/2010
670026263,PARTY IS OVER,9/23/2012,4/10/2016
62343262,BLOOD INFERNAL,3/1/2015,Not Found
151014892,ANIMALS MAKE US HUMAN,1/25/2009,4/10/2016
312547730,"THE WALKING DEAD, RISE OF THE GOVERNOR",10/30/2011,Not Found
143917282X,FOUNDERS,10/14/2012,Not Found
1594202710,ON CHINA,6/5/2011,4/10/2016
765312948,PAUL OF DUNE,10/5/2008,10/19/2008
1439154775,AMERICA FOR SALE,11/1/2009,Not Found
345523539,WITCH WRAITH,8/4/2013,Not Found
553418777,THE LITTLE PARIS BOOKSHOP,7/19/2015,9/13/2015
307719219,WHY NATIONS FAIL,4/8/2012,4/10/2016
385523882,BUYOLOGY,11/16/2008,Not Found
812998685,SLADE HOUSE,11/15/2015,Not Found
62045032,BLOOM,4/22/2012,Not Found
399158413,NEW NEW RULES,12/4/2011,4/10/2016
1414336241,THE AUSCHWITZ ESCAPE,4/6/2014,4/27/2014
1451647050,FIFTEEN MINUTES,11/17/2013,Not Found
307263991,SWAMPLANDIA!,2/27/2011,3/13/2011
786952334,THE GHOST KING,10/25/2009,11/8/2009
087113988X,THE BEST GAME EVER,6/29/2008,Not Found
145162445X,A UNIVERSE FROM NOTHING,1/29/2012,4/10/2016
312368127,BLOOD GAME,11/8/2009,11/15/2009
1455547220,"GOOD TALK, DAD",6/8/2014,4/10/2016
62225790,AN APPETITE FOR WONDER,10/13/2013,Not Found
446580821,THE SECRET LIFE OF MARILYN MONROE,9/13/2009,4/10/2016
670026093,YOU MUST REMEMBER THIS,3/30/2014,4/10/2016
1416580557,A LITTLE BIT WICKED,5/3/2009,4/10/2016
1592407552,SHOWTIME,3/23/2014,4/10/2016
62270516,ROCK WITH WINGS,5/24/2015,6/7/2015
393244075,GATEWAY TO FREEDOM,2/8/2015,4/10/2016
758234910,DEVIL&#39;S FOOD CAKE MURDER,3/13/2011,Not Found
1400065453,THE THOUSAND AUTUMNS OF JACOB DE ZOET,7/18/2010,8/15/2010
1451673213,SILVER SCREEN FIEND,1/25/2015,Not Found
393071014,THE RETURN OF DEPRESSION ECONOMICS AND THE CRISIS OF 2008,12/21/2008,4/10/2016
670020346,ANTICANCER,9/28/2008,Not Found
374280304,FRANK,4/5/2015,4/10/2016
399155716,BRIMSTONE,5/24/2009,5/31/2009
067002581X,THE BOYS IN THE BOAT,6/23/2013,4/10/2016
1596985879,MELTDOWN,3/1/2009,4/10/2016
812993861,SHOPAHOLIC TO THE STARS,11/9/2014,Not Found
042527733X,DARK GHOST,9/20/2015,Not Found
758234899,APPLE TURNOVER MURDER,3/14/2010,3/21/2010
1594488878,"JULIET, NAKED",10/18/2009,10/25/2009
525954848,THERE WAS A LITTLE GIRL,12/7/2014,4/10/2016
1451656033,TEN YEARS LATER,2/3/2013,4/10/2016
316037702,GHOST IN THE WIRES,9/4/2011,4/10/2016
345511328,THE OLD REPUBLIC: FATAL ALLIANCE,8/8/2010,8/15/2010
316227706,UNDERWATER DOGS,11/25/2012,4/10/2016
399158588,SHOTS FIRED,8/3/2014,Not Found
399169466,ROBERT B. PARKER&#39;S THE DEVIL WINS,9/27/2015,Not Found
399157859,LIONHEART,10/23/2011,Not Found
553391151,MR. MIRACLE,10/26/2014,11/16/2014
61239240,QUEEN OF THE NIGHT,8/15/2010,Not Found
1501110993,DEATH WEARS A BEAUTY MASK AND OTHER STORIES,5/17/2015,5/31/2015
1594488584,THE LONG FALL,4/12/2009,4/19/2009
1476765111,CRASH AND BURN,11/17/2013,Not Found
544323521,DEEP SOUTH,10/18/2015,4/10/2016
150111235X,I FEEL LIKE GOING ON,11/8/2015,Not Found
61990612,NO MARK UPON HER,2/26/2012,Not Found
307962334,RULES FOR A KNIGHT,12/6/2015,12/13/2015
62320408,PRESIDENT ME,6/1/2014,Not Found
1455501352,MO&#39; META BLUES,7/7/2013,4/10/2016
147674923X,WINDIGO ISLAND,9/7/2014,Not Found
393064476,THE SWERVE,10/9/2011,4/10/2016
525954600,SUSPICION,6/15/2014,Not Found
525954422,MIRACLES,11/16/2014,4/10/2016
312588895,MY LIFE OUTSIDE THE RING,11/15/2009,Not Found
451463528,THE HIGH KING OF MONTIVAL,9/26/2010,Not Found
1451645678,TRICKSTER&#39;S POINT,9/9/2012,Not Found
385533926,SEX ON THE MOON,7/31/2011,4/10/2016
425263150,MIDNIGHT CROSSROAD,5/25/2014,Not Found
159474713X,WILLIAM SHAKESPEARE&#39;S THE JEDI DOTH RETURN,7/20/2014,Not Found
1439140219,TATIANA,12/1/2013,Not Found
62133438,FROZEN IN TIME,5/12/2013,4/10/2016
1595230769,SECRET KNOWLEDGE,6/19/2011,4/10/2016
446564478,THE BOURNE IMPERATIVE,6/24/2012,7/8/2012
525950923,A PLAGUE OF SECRETS,7/19/2009,7/26/2009
147671777X,INSIDE THE O&#39;BRIENS,4/26/2015,5/10/2015
62271601,TO DWELL IN DARKNESS,10/12/2014,Not Found
547840055,THE PRIZE,9/27/2015,Not Found
1400063973,THE 19TH WIFE,8/31/2008,9/7/2008
1439150001,THE CHRISTMAS LIST,10/25/2009,Not Found
316185906,THE LIFEBOAT,4/29/2012,5/20/2012
307595854,THE REDEEMER,6/9/2013,6/16/2013
61727660,THE MAPPING OF LOVE AND DEATH,4/11/2010,Not Found
61995037,THE UPSIDE OF IRRATIONALITY,6/20/2010,Not Found
1451645600,A HOUSE IN THE SKY,9/29/2013,4/10/2016
1451645163,MANSON,8/25/2013,4/10/2016
425271447,DARK BLOOD,9/21/2014,Not Found
312385188,PRAYERS FOR SALE,5/3/2009,Not Found
1250027705,BETRAYED,12/14/2014,Not Found
145161036X,"GOD, NO!",9/4/2011,4/10/2016
553804332,SAY GOODBYE,8/3/2008,8/17/2008
1401322905,FREE,7/26/2009,Not Found
684872986,GRAND PURSUIT,10/2/2011,Not Found
312593309,THE HOUSE I LOVED,3/4/2012,3/18/2012
1400067014,THE STRONGEST TRIBE,9/7/2008,4/10/2016
1401323847,IS IT JUST ME?,10/24/2010,4/10/2016
1594201455,IN DEFENSE OF FOOD,6/8/2008,4/10/2016
1594747156,WILLIAM SHAKESPEARE&#39;S THE EMPIRE STRIKETH BACK,4/6/2014,5/18/2014
375424040,THE DRUNKARD&#39;S WALK,6/29/2008,4/10/2016
345506189,ORDER 66,10/5/2008,10/12/2008
1476763798,WHY THE RIGHT WENT WRONG,2/7/2016,4/10/2016
1400068312,SISTERLAND,7/14/2013,7/28/2013
1416591478,STORM FROM THE SHADOWS,3/22/2009,3/29/2009
525953876,DEATH ANGEL,8/18/2013,Not Found
1401323022,SOMEWHERE IN HEAVEN,7/27/2008,Not Found
1414318634,HER MOTHER&#39;S HOPE,4/4/2010,4/11/2010
1451674775,I&#39;LL SEE YOU AGAIN,5/12/2013,4/10/2016
316051640,THE DISAPPEARING SPOON,8/8/2010,4/10/2016
052595242X,THE WEDDING QUILT,11/20/2011,Not Found
679644059,AIMLESS LOVE,11/10/2013,12/1/2013
61650757,THE GREEN-COLLAR ECONOMY,10/26/2008,Not Found
525427996,BEAUTY&#39;S KINGDOM,5/10/2015,Not Found
1414368186,BRIDGE TO HAVEN,5/11/2014,5/18/2014
307596907,THE WOMAN UPSTAIRS,5/19/2013,6/2/2013
758210221,CREAM PUFF MURDER,3/15/2009,3/22/2009
385354045,THE SECRET HISTORY OF WONDER WOMAN,11/16/2014,4/10/2016
393088693,THE PRICE OF INEQUALITY,7/1/2012,4/10/2016
1591842735,STREET FIGHTERS,5/31/2009,4/10/2016
547746725,DRIVING MR. YOGI,4/22/2012,4/10/2016
312323573,THE ASSASSIN,8/24/2008,9/14/2008
802120075,FULL SERVICE,3/11/2012,4/10/2016
778314936,THE APPLE ORCHARD,5/19/2013,Not Found
62429051,PRETTY GIRLS,10/18/2015,10/25/2015
345546830,KENOBI,9/15/2013,Not Found
1414334095,HER DAUGHTER&#39;S DREAM,10/3/2010,10/10/2010
805077928,THE LAST CAMPAIGN,6/22/2008,4/10/2016
62089234,RIGHTFUL HERITAGE,4/3/2016,Not Found
385536615,SYSTEM,10/6/2013,4/10/2016
525951768,DAMAGE,1/23/2011,2/6/2011
786865652,HOME,6/8/2008,Not Found
1416544623,PRACTICE TO DECEIVE,10/27/2013,Not Found
812993683,DOGFIGHT,12/23/2012,Not Found
399158685,INSANE CITY,2/17/2013,3/3/2013
