Date,GT_SearchIndex
"Feb 26, 2016",0
"Feb 27, 2016",0
"Feb 28, 2016",0
"Feb 29, 2016",0
"Mar 1, 2016",0
"Mar 2, 2016",0
"Mar 3, 2016",0
"Mar 4, 2016",0
"Mar 5, 2016",0
"Mar 6, 2016",0
"Mar 7, 2016",0
"Mar 8, 2016",0
"Mar 9, 2016",0
"Mar 10, 2016",0
"Mar 11, 2016",50
"Mar 12, 2016",0
"Mar 13, 2016",57
"Mar 14, 2016",49
"Mar 15, 2016",0
"Mar 16, 2016",0
"Mar 17, 2016",49
"Mar 18, 2016",0
"Mar 19, 2016",0
"Mar 20, 2016",0
"Mar 21, 2016",49
"Mar 22, 2016",0
"Mar 23, 2016",50
"Mar 24, 2016",0
"Mar 25, 2016",53
"Mar 26, 2016",0
"Mar 27, 2016",0
"Mar 28, 2016",50
"Mar 29, 2016",49
"Mar 30, 2016",0
"Mar 31, 2016",50
"Apr 1, 2016",0
"Apr 2, 2016",0
"Apr 3, 2016",0
"Apr 4, 2016",0
"Apr 5, 2016",0
"Apr 6, 2016",0
"Apr 7, 2016",0
"Apr 8, 2016",0
"Apr 9, 2016",0
"Apr 10, 2016",0
"Apr 11, 2016",0
"Apr 12, 2016",0
"Apr 13, 2016",73
"Apr 14, 2016",0
"Apr 15, 2016",51
"Apr 16, 2016",61
"Apr 17, 2016",91
"Apr 18, 2016",0
"Apr 19, 2016",49
"Apr 20, 2016",0
"Apr 21, 2016",48
"Apr 22, 2016",100
"Apr 23, 2016",61
"Apr 24, 2016",60
"Apr 25, 2016",73
"Apr 26, 2016",0
"Apr 27, 2016",0
"Apr 28, 2016",49
"Apr 29, 2016",0
"Apr 30, 2016",0
"May 1, 2016",0
"May 2, 2016",0
"May 3, 2016",0
"May 4, 2016",97
"May 5, 2016",50
"May 6, 2016",51
"May 7, 2016",0
"May 8, 2016",0
"May 9, 2016",50
"May 10, 2016",0
