Date,GT_SearchIndex
Aug 2009,100
Sep 2009,27
Oct 2009,10
Nov 2009,11
Dec 2009,20
Jan 2010,19
Feb 2010,0
Mar 2010,0
Apr 2010,0
May 2010,10
Jun 2010,15
Jul 2010,9
Aug 2010,0
Sep 2010,0
Oct 2010,8
Nov 2010,8
Dec 2010,0
Jan 2011,9
Feb 2011,0
Mar 2011,12
Apr 2011,0
May 2011,6
Jun 2011,0
Jul 2011,6
Aug 2011,6
Sep 2011,6
Oct 2011,5
Nov 2011,0
Dec 2011,5
Jan 2012,9
Feb 2012,7
Mar 2012,0
Apr 2012,0
May 2012,5
Jun 2012,5
Jul 2012,5
Aug 2012,5
Sep 2012,0
Oct 2012,4
Nov 2012,0
Dec 2012,4
Jan 2013,8
Feb 2013,4
Mar 2013,4
Apr 2013,4
May 2013,4
Jun 2013,8
Jul 2013,8
Aug 2013,4
Sep 2013,8
Oct 2013,8
Nov 2013,8
Dec 2013,8
Jan 2014,4
Feb 2014,4
Mar 2014,11
Apr 2014,8
May 2014,0
Jun 2014,0
Jul 2014,4
Aug 2014,0
Sep 2014,4
Oct 2014,8
Nov 2014,0
Dec 2014,0
Jan 2015,4
Feb 2015,4
Mar 2015,0
Apr 2015,4
May 2015,8
Jun 2015,0
Jul 2015,4
Aug 2015,4
Sep 2015,4
Oct 2015,4
Nov 2015,8
Dec 2015,4
Jan 2016,3
Feb 2016,0
Mar 2016,6
Apr 2016,0
May 2016,5
