Date,GT_SearchIndex
"Sep 10, 2014",0
"Sep 11, 2014",0
"Sep 12, 2014",0
"Sep 13, 2014",0
"Sep 14, 2014",0
"Sep 15, 2014",32
"Sep 16, 2014",0
"Sep 17, 2014",0
"Sep 18, 2014",0
"Sep 19, 2014",0
"Sep 20, 2014",0
"Sep 21, 2014",0
"Sep 22, 2014",33
"Sep 23, 2014",0
"Sep 24, 2014",0
"Sep 25, 2014",0
"Sep 26, 2014",0
"Sep 27, 2014",0
"Sep 28, 2014",0
"Sep 29, 2014",0
"Sep 30, 2014",0
"Oct 1, 2014",0
"Oct 2, 2014",0
"Oct 3, 2014",0
"Oct 4, 2014",0
"Oct 5, 2014",0
"Oct 6, 2014",0
"Oct 7, 2014",0
"Oct 8, 2014",32
"Oct 9, 2014",0
"Oct 10, 2014",0
"Oct 11, 2014",0
"Oct 12, 2014",0
"Oct 13, 2014",0
"Oct 14, 2014",0
"Oct 15, 2014",0
"Oct 16, 2014",33
"Oct 17, 2014",34
"Oct 18, 2014",0
"Oct 19, 2014",42
"Oct 20, 2014",32
"Oct 21, 2014",32
"Oct 22, 2014",0
"Oct 23, 2014",66
"Oct 24, 2014",34
"Oct 25, 2014",42
"Oct 26, 2014",0
"Oct 27, 2014",0
"Oct 28, 2014",0
"Oct 29, 2014",0
"Oct 30, 2014",33
"Oct 31, 2014",0
"Nov 1, 2014",0
"Nov 2, 2014",41
"Nov 3, 2014",64
"Nov 4, 2014",64
"Nov 5, 2014",31
"Nov 6, 2014",0
"Nov 7, 2014",100
"Nov 8, 2014",62
"Nov 9, 2014",41
"Nov 10, 2014",32
"Nov 11, 2014",48
"Nov 12, 2014",32
"Nov 13, 2014",0
"Nov 14, 2014",0
"Nov 15, 2014",0
"Nov 16, 2014",0
"Nov 17, 2014",0
"Nov 18, 2014",0
"Nov 19, 2014",34
"Nov 20, 2014",0
"Nov 21, 2014",49
"Nov 22, 2014",80
"Nov 23, 2014",0
"Nov 24, 2014",32
"Nov 25, 2014",33
"Nov 26, 2014",35
"Nov 27, 2014",0
"Nov 28, 2014",0
"Nov 29, 2014",0
"Nov 30, 2014",0
"Dec 1, 2014",0
"Dec 2, 2014",0
"Dec 3, 2014",31
"Dec 4, 2014",47
"Dec 5, 2014",0
"Dec 6, 2014",40
"Dec 7, 2014",0
"Dec 8, 2014",31
"Dec 9, 2014",31
"Dec 10, 2014",0
"Dec 11, 2014",0
"Dec 12, 2014",0
"Dec 13, 2014",0
"Dec 14, 2014",42
"Dec 15, 2014",0
"Dec 16, 2014",0
"Dec 17, 2014",0
"Dec 18, 2014",35
"Dec 19, 2014",0
"Dec 20, 2014",43
"Dec 21, 2014",89
"Dec 22, 2014",0
"Dec 23, 2014",37
"Dec 24, 2014",42
"Dec 25, 2014",49
"Dec 26, 2014",0
"Dec 27, 2014",0
"Dec 28, 2014",0
"Dec 29, 2014",36
"Dec 30, 2014",0
"Dec 31, 2014",0
"Jan 1, 2015",0
"Jan 2, 2015",73
"Jan 3, 2015",0
"Jan 4, 2015",0
"Jan 5, 2015",0
"Jan 6, 2015",0
"Jan 7, 2015",0
"Jan 8, 2015",32
