Date,GT_SearchIndex
"Mar 7, 2008",58
"Mar 8, 2008",0
"Mar 9, 2008",0
"Mar 10, 2008",27
"Mar 11, 2008",0
"Mar 12, 2008",28
"Mar 13, 2008",28
"Mar 14, 2008",0
"Mar 15, 2008",42
"Mar 16, 2008",42
"Mar 17, 2008",0
"Mar 18, 2008",28
"Mar 19, 2008",29
"Mar 20, 2008",0
"Mar 21, 2008",0
"Mar 22, 2008",0
"Mar 23, 2008",0
"Mar 24, 2008",0
"Mar 25, 2008",27
"Mar 26, 2008",83
"Mar 27, 2008",0
"Mar 28, 2008",59
"Mar 29, 2008",40
"Mar 30, 2008",40
"Mar 31, 2008",0
"Apr 1, 2008",0
"Apr 2, 2008",0
"Apr 3, 2008",27
"Apr 4, 2008",29
"Apr 5, 2008",0
"Apr 6, 2008",41
"Apr 7, 2008",0
"Apr 8, 2008",0
"Apr 9, 2008",27
"Apr 10, 2008",0
"Apr 11, 2008",28
"Apr 12, 2008",0
"Apr 13, 2008",0
"Apr 14, 2008",27
"Apr 15, 2008",0
"Apr 16, 2008",28
"Apr 17, 2008",0
"Apr 18, 2008",0
"Apr 19, 2008",0
"Apr 20, 2008",43
"Apr 21, 2008",0
"Apr 22, 2008",27
"Apr 23, 2008",27
"Apr 24, 2008",28
"Apr 25, 2008",30
"Apr 26, 2008",42
"Apr 27, 2008",83
"Apr 28, 2008",0
"Apr 29, 2008",0
"Apr 30, 2008",27
"May 1, 2008",0
"May 2, 2008",29
"May 3, 2008",41
"May 4, 2008",43
"May 5, 2008",27
"May 6, 2008",26
"May 7, 2008",27
"May 8, 2008",68
"May 9, 2008",29
"May 10, 2008",43
"May 11, 2008",66
"May 12, 2008",80
"May 13, 2008",27
"May 14, 2008",41
"May 15, 2008",27
"May 16, 2008",29
"May 17, 2008",44
"May 18, 2008",0
"May 19, 2008",27
"May 20, 2008",53
"May 21, 2008",27
"May 22, 2008",28
"May 23, 2008",60
"May 24, 2008",91
"May 25, 2008",49
"May 26, 2008",41
"May 27, 2008",27
"May 28, 2008",27
"May 29, 2008",41
"May 30, 2008",30
"May 31, 2008",0
"Jun 1, 2008",44
"Jun 2, 2008",41
"Jun 3, 2008",27
"Jun 4, 2008",27
"Jun 5, 2008",28
"Jun 6, 2008",30
"Jun 7, 2008",44
"Jun 8, 2008",66
"Jun 9, 2008",29
"Jun 10, 2008",42
"Jun 11, 2008",29
"Jun 12, 2008",59
"Jun 13, 2008",47
"Jun 14, 2008",0
"Jun 15, 2008",47
"Jun 16, 2008",29
"Jun 17, 2008",28
"Jun 18, 2008",58
"Jun 19, 2008",0
"Jun 20, 2008",31
"Jun 21, 2008",45
"Jun 22, 2008",0
"Jun 23, 2008",28
"Jun 24, 2008",57
"Jun 25, 2008",0
"Jun 26, 2008",29
"Jun 27, 2008",31
"Jun 28, 2008",0
"Jun 29, 2008",0
"Jun 30, 2008",0
"Jul 1, 2008",29
"Jul 2, 2008",59
"Jul 3, 2008",32
"Jul 4, 2008",0
"Jul 5, 2008",100
