Date,GT_SearchIndex
"Mar 26, 2010",17
"Mar 27, 2010",23
"Mar 28, 2010",23
"Mar 29, 2010",39
"Mar 30, 2010",31
"Mar 31, 2010",32
"Apr 1, 2010",0
"Apr 2, 2010",38
"Apr 3, 2010",49
"Apr 4, 2010",52
"Apr 5, 2010",48
"Apr 6, 2010",15
"Apr 7, 2010",31
"Apr 8, 2010",16
"Apr 9, 2010",25
"Apr 10, 2010",47
"Apr 11, 2010",23
"Apr 12, 2010",23
"Apr 13, 2010",22
"Apr 14, 2010",38
"Apr 15, 2010",0
"Apr 16, 2010",24
"Apr 17, 2010",47
"Apr 18, 2010",23
"Apr 19, 2010",38
"Apr 20, 2010",22
"Apr 21, 2010",23
"Apr 22, 2010",15
"Apr 23, 2010",33
"Apr 24, 2010",34
"Apr 25, 2010",34
"Apr 26, 2010",15
"Apr 27, 2010",15
"Apr 28, 2010",15
"Apr 29, 2010",32
"Apr 30, 2010",17
"May 1, 2010",24
"May 2, 2010",24
"May 3, 2010",16
"May 4, 2010",15
"May 5, 2010",31
"May 6, 2010",16
"May 7, 2010",0
"May 8, 2010",24
"May 9, 2010",25
"May 10, 2010",16
"May 11, 2010",15
"May 12, 2010",23
"May 13, 2010",32
"May 14, 2010",17
"May 15, 2010",25
"May 16, 2010",50
"May 17, 2010",24
"May 18, 2010",15
"May 19, 2010",23
"May 20, 2010",25
"May 21, 2010",0
"May 22, 2010",100
"May 23, 2010",25
"May 24, 2010",24
"May 25, 2010",16
"May 26, 2010",16
"May 27, 2010",41
"May 28, 2010",37
"May 29, 2010",26
"May 30, 2010",0
"May 31, 2010",47
"Jun 1, 2010",0
"Jun 2, 2010",24
"Jun 3, 2010",16
"Jun 4, 2010",17
"Jun 5, 2010",24
"Jun 6, 2010",0
"Jun 7, 2010",33
"Jun 8, 2010",32
"Jun 9, 2010",0
"Jun 10, 2010",17
"Jun 11, 2010",18
"Jun 12, 2010",25
"Jun 13, 2010",0
"Jun 14, 2010",17
"Jun 15, 2010",33
