isbn,Author,Category,Author_NY,Title_NY,author_gender
0316037915,PATTERSON JAMES,Suspense/Thrillers,James Patterson and Michael Ledwidge,TICK TOCK,multi
0446572993,BALDACCI DAVID,Suspense/Thrillers,David Baldacci,THE INNOCENT,male
0385341679,MONING KAREN MARIE,Romance,Karen Marie Moning,SHADOWFEVER,female
0061374229,WROBLEWSKI DAVID,Fiction General,David Wroblewski,THE STORY OF EDGAR SAWTELLE,male
0547386079,LEHRER JONAH,Reference,Jonah Lehrer,IMAGINE,male
038553714X,GRISHAM JOHN,Suspense/Thrillers,John Grisham,GRAY MOUNTAIN,male
031621096X,PATTERSON JAMES,Suspense/Thrillers,James Patterson,HOPE TO DIE,male
0345527771,EVANOVICH JANET,Mystery/Detective,Janet Evanovich,WICKED BUSINESS,female
0316018767,PATTERSON JAMES,Suspense/Thrillers,James Patterson and Maxine Paetro,THE 8TH CONFESSION,multi
0670021652,GILBERT ELIZABETH,Biography/Autobiography/Memoir,Elizabeth Gilbert,COMMITTED,female
1451606273,LEVIN MARK R.,History/Law/Political Science,Mark R Levin,THE LIBERTY AMENDMENTS,male
0062255657,GAIMAN NEIL,Fantasy,Neil Gaiman,THE OCEAN AT THE END OF THE LANE,male
0805096663,O&#39;REILLY BILL,History/Law/Political Science,Bill O&#39;Reilly and Martin Dugard,KILLING KENNEDY,multi
0399164456,ROBERTS NORA,Romance,Nora Roberts,THE COLLECTOR,female
0385539436,GRISHAM JOHN,Suspense/Thrillers,John Grisham,ROGUE LAWYER,male
141659485X,BECK GLENN,Fiction General,Glenn Beck with Kevin Balfe and Jason Wright,THE CHRISTMAS SWEATER,male
0399155872,ROBERTS NORA,Romance,Nora Roberts,BLACK HILLS,female
0812993543,COATES TA-NEHISI,Biography/Autobiography/Memoir,Ta-Nehisi Coates,BETWEEN THE WORLD AND ME,male
1595231129,CARSON BEN,History/Law/Political Science,Ben Carson with Candy Carson,ONE NATION,multi
0446577898,MELTZER BRAD,Suspense/Thrillers,Brad Meltzer,THE INNER CIRCLE,male
0679405070,CARO ROBERT A.,Biography/Autobiography/Memoir,Robert A Caro,THE PASSAGE OF POWER,male
1455520616,SPARKS NICHOLAS,Romance,Nicholas Sparks,SEE ME,male
