ISBN,Author,Publisher,Publish Date
0553807056,Bantam Books,June 2008,Dean Ray Koontz
0316068047,Little Brown and Company,2008,Stephenie Meyer
0312348673,St. Martin's Press,"May 6, 2008",Emily Giffin
0399154183,G.P. Putnam's Sons,2008,Patricia Daniels Cornwell
0385517882,Doubleday,"May 20, 2008",Chuck Palahniuk
0399155007,Putnam Adult,"May 6, 2008",John Sandford
0446195979,Grand Central Publishing,"April 22, 2008",David Baldacci
0441015891,Ace Hardcover,"May 6, 2008",Charlaine Harris
1416566384,Simon & Schuster,"April 8, 2008",Mary Higgins Clark
0778325504,Mira,"May 1, 2008",Debbie Macomber
0061160873,HarperCollinsPublishers,Date 0,Elizabeth George
0307265730,Knopf,2008,Jhumpa Lahiri
0061537934,HarperCollins,2008,Garth Stein
0525950605,Dutton Adult,"April 15, 2008",Harlan Coben
0061236217,Harper,2008,Phillip Margolin
0307377040,Pantheon Books,2008,Joseph O'Neill
0385515049,Doubleday,2008,John Grisham
0345501284,Del Rey,2008,James Rollins
0425222195,Berkley Hardcover,"June 3, 2008",Laurell K. Hamilton
0743290119,Simon & Schuster,"May 27, 2008",Lauren Weisberger
0385524285,Doubleday,"May 27, 2008",Sebastian Faulks
006123088X,William Morrow,2008,Steve Martini
0060829850,William Morrow,"May 27, 2008",Ann Maxwell
0375504338,Random House,2008,Salman Rushdie
0385340567,Delacorte Press,"June 3, 2008",Lee Child
0399154973,G.P. Putnam's Sons,2008,Clive Cussler
0399154981,Putnam Adult,"June 3, 2008",Some Random Author
1400066026,Random House,"June 3, 2008",Alan Furst
0393041654,W. W. Norton,"June 2, 2008",Andre Dubus
039915504X,Putnam Adult,"June 3, 2008",Robert B. Parker
0316018708,"Little, Brown and Company","June 9, 2008",James Patterson
1416549978,Simon & Schuster,"June 3, 2008",Jeffery Deaver
0312341814,St. Martin's Press,2008,Jackie Collins
0061374229,Ecco,2008,David Wroblewski
1594489580,Riverhead Books,2007,Junot Díaz
0312349513,St. Martin's Press,"June 17, 2008",Janet Evanovich
1416537325,Pocket,"June 10, 2008",Johanna Lindsey
0670018856,Viking Adult,"June 17, 2008",Jane Green
0399155031,Putnam Adult,"June 24, 2008",Catherine Coulter
0385340257,Delacorte Press,"June 24, 2008",Danielle Steel
0061230944,Morrow Avon,2008,James Rollins
0679456805,Random House,"June 24, 2008",Ethan Canin
006085202X,William Morrow,"June 24, 2008",Meg Cabot
141654383X,Atria,"July 1, 2008",Brad Thor
0743281640,Simon & Schuster,"July 1, 2008",Robert Crais
0345486544,Ballantine Books,"June 24, 2008",Linda Howard
0316018600,"Little, Brown and Company","July 2, 2008",Elin Hilderbrand
0399154914,Putnam Adult,"July 8, 2008",Nora Roberts
1416548521,Simon & Schuster,"July 8, 2008",James Lee Burke
0312367996,St. Martin's Press,2008,Iris Johansen
0385524064,Doubleday,"July 15, 2008",Christopher Reich
0385492723,Doubleday,2008,E. Lynn Harris
0553804332,Bantam,"July 15, 2008",Lisa Gardner
0399155058,Putnam Adult,"July 8, 2008",Ridley Pearson
1594489505,Riverhead Books,2007,Khaled Hosseini
0451224507,SIGNET,JUNE 2008,Daniel Silva
0345501535,Ballantine Books,"July 29, 2008",Suzanne Brockmann
0060746769,William Morrow,2008,J. A. Jance
0765315017,Tor Books,"July 22, 2008",David Weber
0446539864,Grand Central Publishing,"July, 2008",Eric Van Lustbader
0385340990,The Dial Press,"July 29, 2008",Annie Barrows
0061624764,William Morrow,2006,Brunonia Barry
034550898X,Del Rey/Ballentine Books,2008,Karen Traviss
0385341954,Delacorte Press,"July 29, 2008",Karin Slaughter
0312362153,St. Martin's Press,"August 5, 2008",Sherrilyn Kenyon
0399155023,Putnam Adult,"August 5, 2008",Robin Cook
0312323573,St. Martin's Press,2008,Stephen Coonts
0385524943,Doubleday,2008,Andrew Davidson
1416563067,Simon & Schuster,"August 12, 2008",Sandra Brown
0061227331,William Morrow,Date 0,Faye Kellerman
0446527874,Grand Central Pub.,2008,Anne Rivers Siddons
1400063973,Random House,2008,David Ebershoff
0345499026,Lucas Books/Del Rey/Ballantine Books,2008,Sean Williams
0312354630,St. Martin's Press,2008,Barbara Taylor Bradford
0399155139,G.P. Putnam's Sons,2008,Jack Higgins
0743294386,Scribner,"August 26, 2008",Kathy Reichs
0345484142,Ballantine Books,2008,Terry Brooks
0399155333,G.P. Putnam's Sons,2008,Dick Francis
0061246247,William Morrow & Co.,Date 0,Elizabeth Peters
0778325776,Mira,2008,Susan Wiggs
0425223434,Berkley Books,2008,Christine Feehan
044657788X,Grand Central Pub.,2008,Brad Meltzer
1400064759,Random House,2008,Curtis Sittenfeld
0374299102,"Farrar, Straus and Giroux",2008,Marilynne Robinson
031236847X,St. Martin's Minotaur,2008,Chelsea Cain
0451462289,Roc,2008,S. M. Stirling
0061474096,William Morrow,2008,Neal Stephenson
0345497627,Ballantine Books,2008,Tess Gerritsen
0446579823,Twelve,2008,Christopher Buckley
1416571663,Scribner,"June 3, 2008",E. Annie Proulx
1416549129,Simon & Schuster; Touchstone,September 2008,Philippa Gregory
0385341636,Delacorte Press,2008,Karen Marie Moning
0307269752,Alfred A. Knopf,2008,Stieg Larsson
054705484X,Houghton Mifflin Company,2008,Philip Roth
0765312948,Tor,2008,Brian Herbert
0345506189,Del Rey,"August 5, 2008",Karen Traviss
0670019917,Viking,2008,Garrison Keillor
0399155279,G.P. Putnam's Sons,2008,John Sandford
0688163181,William Morrow and Company,2008,Some Random Author
0399155155,G.P. Putnam's Sons,2008,Stuart Woods
1401301614,Hyperion,"August 26, 2008",Candace Bushnell
1416550402,Atria Books,2008,Ted Bell
0375425136,Pantheon Books,2008,Alexander McCall Smith
1416565116,Simon & Schuster,2008,Stephen Hunter
0446579939,Grand Central Publishing,2008,Nicholas Sparks
0778325911,MIRA,2008,Debbie Macomber
0786949643,Wizards of the Coast,2008,R. A. Salvatore
1416594884,Scribner,2008,John le Carré
1416550038,Simon & Schuster,Date 0,Richard J. Evans
0399155260,G. P. Putnam's Sons,2008,Sharon Kay Penman
1416583297,Simon & Schuster,2008,Jennifer Chiaverini
0756405246,"DAW Books, Inc.",2008,Mercedes Lackey
0316166294,"Little, Brown and Company",2008,Michael Connelly
0060548924,William Morrow,2008,Gregory Maguire
0312533780,St. Martin's Press,2008,Lisa Kleypas
0345500679,BallantineBooks,2008,Katherine Neville
0375422757,Pantheon Books,2008,Julia Glass
0743270428,Atria Books,2008,Vince Flynn
0345495136,Ballantine Books,2008,Jonathan Kellerman
0399155198,G.P. Putnam's Sons,2008,Robert B. Parker
0316059862,"Little, Brown and Co.",2008,Anita Shreve
0312368089,St. Martin's Press,2008,Iris Johansen
0345507002,LucasBooks/Del Rey/Ballantine Books,2008,James Luceno
0446533424,Grand Central Pub.,2008,Nelson DeMille
0385340265,Delacorte Press,2008,Danielle Steel
0373773021,HQN,2008,Linda Lael Miller
0446195502,Grand Central Pub.,2008,David Baldacci
0399155228,G.P. Putnam's Sons,2008,J. D. Robb
0345495934,Ballantine Books,2008,Laurell K. Hamilton
1416545182,Atria Books,2008,Sister Souljah
0553807064,Bantam Books,2008,sneaky pie brown
141659485X,Threshold,2008,Glenn Beck
1439115303,Scribner,November 2008,Stephen King
0060393491,HarperCollins Publishers,2008,Wally Lamb
0307264238,Knopf,2008,Toni Morrison
1416595619,Simon & Schuster,2008,Jeffery Deaver
0765304961,Tor,2008,Orson Scott Card
0316018724,"Little, Brown and Co.",2008,James Patterson
0307270777,Alfred A. Knopf,2008,P. D. James
1439129177,Simon & Schuster,2008,Mary Higgins Clark
0399155295,G.P. Putnam's Sons,2008,Clive Cussler
0553807137,Bantam Books,2008,Dean Ray Koontz
0441016383,Ace Books,2008,Jim Butcher
039915583X,G. P. Putnam's Sons,2008,Kate Jacobs
0399155163,G. P. Putnam's Sons,2008,Patricia Daniels Cornwell
0345485793,Ballantine Books,2008,Steve Berry
1416563792,Simon & Schuster,2008,J. A. Jance
0399155171,G.P. Putnam's Sons,2008,William E. Butterworth (W.E.B.) Griffin
034550075X,Ballantine Books,2008,Julie Garwood
039915521X,G.P. Putnam's Sons,2008,Jayne Ann Krentz
0805087729,Henry Holt and Company,2009,Richard North Patterson
0399155473,G.P. Putnams's Sons,2009,Stuart Woods
0670020486,Viking,2009,Janice Y. K. Lee
0316032220,"Little, Brown",2009,Josh Bazell
0061578916,Harper,"January 20, 2009",Bernard Cornwell
0525950966,Dutton,2009,Lauren Willig
0385517831,Doubleday & Co.,2009,John Grisham
0061351504,William Morrow,2009,Susan Elizabeth Phillips
0345501551,Ballantine Books,2009,Suzanne Brockmann
0399155503,G.P. Putnam's Sons,2009,Jack Higgins
0767926277,Doubleday,"January 27, 2009",E. Lynn Harris
0553807099,Bantam Dell,2009,Kelley Armstrong
0061432660,William Morrow,"January 27, 2009",Some Random Author
0316018740,"Little, Brown and Co.",February 2009,James Patterson
0441016766,Ace Books,2009,Patricia Briggs
0312364105,St. Martin's Press,2009,Kristin Hannah
0061257052,HarperCollins Publishers,2009,Adriana Trigiani
0446510300,Grand Central Pub.,2009,Karen Rose
0060590319,Harpercollins,Date 0,Christopher Moore
0670020419,Viking,2009,T. Coraghessan Boyle
0316007021,"Little, Brown and Company",2009,Dan Simmons
030726579X,Alfred A. Knopf,2009,Maeve Binchy
1416585834,Atria Books,2008,Spencer Quinn
0805082166,Henry Holt and Co.,"February 17, 2009",Jacqueline Winspear
0385524927,Doubleday,2008,Barbara Delinsky
0385523998,Doubleday,2008,Linda Fairstein
0375414495,Alfred A. Knopf,2009,Abraham Verghese
0312343558,St. Martin's Press,2009,"Palmer, Michael"
0399155481,G.P. Putnam's Sons,2009,J. D. Robb
0061138010,Eos,2009,Kim Harrison
