date,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
2008-06-08,0739327302,1416954120,039306235X,0061628018,0446537519,0446537519,1416562451,0767928350,0060798718,0767927567,1592403611,0786865652,0670020745,0312372655,006078234X,0061118184,0307338770,1594201455,0805076034,0446580503
2008-06-15,1586485563,0739327302,1416954120,039306235X,0061628018,0670020745,0446537519,0446537519,0385520344,0060798718,1592403611,1416562451,0767927567,159315481X,0767928350,030740515X,0061474622,0446580503,006078234X,0618683356
2008-06-22,0316143472,1586485563,039306235X,0739327302,1416954120,0446537519,1592403611,0061628018,1594489947,0446537519,1416562451,0805077928,0312372655,0670020745,0385524382,030740515X,159315481X,0060798718,0446580503,0307395634
2008-06-29,0316143472,1586485563,1592403611,0446581194,039306235X,0446537519,1416954120,0739327302,1594489947,030740515X,087113988X,0375424040,0446537519,0446580503,0767928350,0805077928,159315481X,0312372655,0061628018,0307383296
2008-07-06,0316143472,1586485563,0446581194,1416954120,1401359652,0739327302,039306235X,1400064805,1594489947,0446537519,1592403611,159315481X,0446537519,030740515X,0061628018,0446580503,1416950737,0061234001,0618683356,0307383296
2008-07-13,0316143472,0061547751,1586485563,1416954120,0446581194,0739327302,0670020745,039306235X,1401359652,1400043581,1416950737,1594489947,0446537519,159315481X,1594201455,0385506252,0618683356,030740515X,0446580503,0061234001
2008-07-20,0316143472,0061547751,1586485563,1416954120,0446581194,0670020745,0739327302,039306235X,1416950737,0307338770,1594489947,1594201455,0446537519,1416534075,1401359652,159315481X,0618683356,0446580503,0061234001,0374105235
2008-07-27,0316143472,1416954120,0061547751,1586485563,1416950737,0446581194,039306235X,0739327302,159315481X,0670020745,1416534075,1401323022,1594201455,0446580503,1594489947,0307383296,0446537519,0374105235,0061234001,0375424040
2008-08-03,0316143472,1416587624,1416954120,0385526393,1416950737,0061547751,1586485563,0446581194,039306235X,159315481X,0739327302,0670020745,1416534075,0061473413,0446580503,0618683356,1416964053,0061234001,0374105235,1594201455
2008-08-10,0316143472,0385526393,1416587624,1416950737,1416954120,0061547751,0061147710,0446581194,1586485563,039306235X,1400066247,0670020745,0739327302,0470289066,159315481X,0060884592,1594489947,0061234001,0446580503,0312561032
2008-08-17,1416598065,0316143472,1416950737,1416954120,0061547751,0385526393,1416587624,0061147710,039306235X,0446581194,1586485563,0670020745,0739327302,0307269191,0061256684,0307264785,159315481X,0767929446,0061234001,1439153361
2008-08-24,1416598065,1416950737,0061430625,0316143472,1596985666,1416954120,0385526393,0061547751,1416587624,159315481X,0805079882,039306235X,0061147710,0061256684,0446581194,0307269191,0307264785,0739327302,1586485563,0061234001
2008-08-31,1416598065,1416950737,0061430625,1416954120,0316143472,1596985666,0061547751,0385526393,0805088156,0307264785,0805079882,1416541527,039306235X,0061147710,1416587624,0061256684,0446581194,0061245585,0307269191,0060598670
2008-09-07,1416598065,1416950737,1416954120,0805088156,0316143472,1596985666,0061430625,039306235X,0061547751,0307264785,1416541527,0385526393,0805079882,0061147710,0061256684,1594201757,1400067014,0061234001,0446581194,0061245585
2008-09-14,1416950737,1416598065,1416954120,0316143472,1596985666,0061430625,0061547751,0805088156,039306235X,0805079882,0307264785,1594201455,0061256684,1416541527,0316066214,0061147761,0393058468,0060781009,1592403778,0060598670
2008-09-21,1416950737,1416598065,1416954120,0316143472,1596985666,0805088156,0061547751,0307395774,1400067928,0446537519,0061430625,039306235X,0979047080,0307264785,0743266242,0670020745,0805079882,1592403778,0061147761,1594201455
2008-09-28,0374166854,1416558977,1416950737,1416954120,0307395774,0805088156,1416598065,0061547751,0316143472,1596985666,0743266242,1400067014,1416551735,1596985585,0307381285,0670020346,1400067928,0345500717,0743294580,039306235X
2008-10-05,0374166854,1416558977,0805088156,1594201862,1595551565,1416950737,0061256803,1416954120,0307266397,0061547751,0316143472,1596985666,0446407410,1416598065,1594489963,0307381285,0307395774,0743266242,1596985585,0345500717
2008-10-19,0553805096,0446407410,0374166854,0767928822,0805088156,0061373311,1400066123,1416558977,1416554440,0525950699,0061256803,0061547751,1416950737,1416954120,0307266397,0670019070,0307408647,0316143472,0060763264,0345507010
2008-10-26,0553805096,0374166854,0446407410,0767928822,1400066123,0312384394,1594489998,1596985550,1416558977,0805088156,0061373311,0061650757,1594201919,0061256803,0316143472,0061547751,1416598065,0446539724,0307266397,1596985666
2008-11-02,0553805096,0767928822,0446407410,0061490148,0310289025,0374166854,1400066123,1594489998,1596985550,0061373311,1416558977,0312384394,0805088156,0385521324,1594201919,0061256803,0061547751,0307408493,0061118184,0316143472
2008-11-09,0316024759,0553805096,0446407410,0670020745,0767928822,0374166854,0061490148,0310289025,0061713244,1400066123,052595032X,1594201919,1594489998,1596985550,1599951614,0312384394,1400063515,1416558977,0061373311,0061547751
2008-11-16,0446407410,0316024759,0553805096,0767928822,0374166854,0670020745,1400066123,0310289025,0061713244,006075401X,0385523882,0061547751,0061490148,1594489998,1594201919,159514210X,1400063515,052595032X,0316143472,1596985550
2008-11-23,0446407410,0553805096,0767928822,1400066123,0316024759,0374166854,0316045608,1400082773,0670020745,0310289025,0307455874,0061547751,1416587853,006075401X,0061713244,1600781632,0061373311,1416599436,1594201919,1400063515
2008-11-30,0385526563,1400063256,0446407410,0374166854,0553805096,0767928822,0316045608,0446581895,1400066123,1400082773,0307455874,0061547751,0316024759,0670020745,0310289025,1600781632,0061672475,006075401X,0061441627,0061713244
2008-12-07,0316017922,0385526563,0446407410,1400063256,1595230548,0374166854,0553805096,0767928822,0670031607,0375505105,1400066123,0446581895,0316045608,1400082773,0307455874,0310289025,0061547751,0307394069,1594201927,0061672475
2008-12-14,0316017922,1400063256,0446407410,1595230548,0385526563,0374166854,0670031607,0767928822,0553805096,1594201927,006075401X,1400066123,0310289025,0375505105,0316045608,0446581895,0061672475,0307455874,0393065146,0307394069
2008-12-21,0316017922,0446407410,1400063256,0310289025,0767928822,0385526563,0670031607,0553805096,1595230548,0374166854,0446581895,0316045608,1400066123,1594201927,0375505105,1400068282,1439102252,0061672475,0393071014,1579127495
2008-12-28,0316017922,0446407410,1400063256,0767928822,0310289025,0385526563,0670031607,0374166854,0553805096,1595230548,1439130728,0316045608,1439102252,0375505105,1594201927,160320072X,1400066123,1400068282,0061547751,0446581895
2009-01-04,0316017922,0446407410,1400063256,0767928822,0385526563,0310289025,0374166854,0670031607,0553805096,1595230548,1439130728,0316143472,1579127495,0375505105,1439102252,0316045608,0061547751,0316035904,1400066123,1594201927
2009-01-11,0316017922,0446407410,1400063256,0767928822,0385526563,0310289025,0670031607,0374166854,0553805096,1595230548,0316143472,1439130728,1439102252,0307455874,0375505105,1416954120,1400066123,0393071014,006075401X,0316045608
2009-01-18,0316017922,0446407410,1400063256,0310289025,0670031607,0767928822,1439102252,0374166854,0385526563,0553805096,0393071014,1594201927,1416954120,1595230548,1400066123,0316045608,0316143472,0670020745,0393065146,1439130728
2009-01-25,0316017922,030735346X,0446407410,1400063256,0385526563,1439102252,0374166854,0670031607,0310289025,0767928822,0393071014,1416954120,0151014892,0553805096,1594201927,0316045608,0316143472,1400063515,0393065146,1594201455
2009-02-01,0316017922,030735346X,0446407410,0385526563,1400063256,0670031607,0316045608,0767928822,0374166854,1594201927,0310289025,1439102252,0307407926,0393071014,0151014892,1416954120,0061125350,0553805096,0061456217,1400063515
2009-02-08,0316017922,030735346X,0446407410,0670031607,1400063256,0310289025,0316045608,0307455874,1400082773,0385526563,0151014892,1594201927,038552501X,0374166854,1416954120,0767928822,1400064996,160320072X,1439102252,0307407926
2009-02-15,0316017922,1596980907,0446407410,030735346X,038551705X,0310289025,1439140634,1400063256,0374166854,0670031607,1594201994,0151014892,038552501X,0385526563,0316045608,1416954120,0767928822,1594201927,1400082773,0307407926
2009-02-22,0385527403,0316017922,0446407410,1596980907,0310289025,030735346X,038551705X,0767928822,1400063256,1594201994,0670031607,0393071014,1416954120,0385526563,0143116428,1401322859,1439102252,1594201927,0151014892,1400064996
2009-03-01,0385527403,0316017922,0446407410,1596980907,0310289025,1594201978,0143116428,030735346X,0767928822,1400064996,0670031607,1594201994,0385526563,1400063256,0307405850,1596985879,038551705X,1416954120,0393071014,0618620117
