Date,GT_SearchIndex
"Aug 2, 2013",0
"Aug 3, 2013",0
"Aug 4, 2013",0
"Aug 5, 2013",35
"Aug 6, 2013",69
"Aug 7, 2013",35
"Aug 8, 2013",0
"Aug 9, 2013",0
"Aug 10, 2013",0
"Aug 11, 2013",89
"Aug 12, 2013",69
"Aug 13, 2013",34
"Aug 14, 2013",52
"Aug 15, 2013",35
"Aug 16, 2013",36
"Aug 17, 2013",0
"Aug 18, 2013",0
"Aug 19, 2013",35
"Aug 20, 2013",0
"Aug 21, 2013",0
"Aug 22, 2013",35
"Aug 23, 2013",36
"Aug 24, 2013",0
"Aug 25, 2013",86
"Aug 26, 2013",100
"Aug 27, 2013",33
"Aug 28, 2013",0
"Aug 29, 2013",34
"Aug 30, 2013",36
"Aug 31, 2013",0
"Sep 1, 2013",64
"Sep 2, 2013",39
"Sep 3, 2013",33
"Sep 4, 2013",100
"Sep 5, 2013",0
"Sep 6, 2013",0
"Sep 7, 2013",0
"Sep 8, 2013",40
"Sep 9, 2013",0
"Sep 10, 2013",0
"Sep 11, 2013",0
"Sep 12, 2013",33
"Sep 13, 2013",0
"Sep 14, 2013",41
"Sep 15, 2013",79
"Sep 16, 2013",0
"Sep 17, 2013",0
"Sep 18, 2013",0
"Sep 19, 2013",0
"Sep 20, 2013",0
"Sep 21, 2013",41
"Sep 22, 2013",0
"Sep 23, 2013",0
"Sep 24, 2013",0
"Sep 25, 2013",0
"Sep 26, 2013",34
"Sep 27, 2013",0
"Sep 28, 2013",42
"Sep 29, 2013",0
"Sep 30, 2013",33
"Oct 1, 2013",65
"Oct 2, 2013",33
"Oct 3, 2013",0
"Oct 4, 2013",0
"Oct 5, 2013",0
"Oct 6, 2013",0
"Oct 7, 2013",0
"Oct 8, 2013",0
