Date,GT_SearchIndex
"Jun 8, 2012",0
"Jun 9, 2012",0
"Jun 10, 2012",44
"Jun 11, 2012",0
"Jun 12, 2012",0
"Jun 13, 2012",35
"Jun 14, 2012",0
"Jun 15, 2012",28
"Jun 16, 2012",23
"Jun 17, 2012",57
"Jun 18, 2012",35
"Jun 19, 2012",69
"Jun 20, 2012",17
"Jun 21, 2012",44
"Jun 22, 2012",18
"Jun 23, 2012",22
"Jun 24, 2012",23
"Jun 25, 2012",35
"Jun 26, 2012",51
"Jun 27, 2012",0
"Jun 28, 2012",35
"Jun 29, 2012",54
"Jun 30, 2012",87
"Jul 1, 2012",100
"Jul 2, 2012",17
"Jul 3, 2012",52
"Jul 4, 2012",53
"Jul 5, 2012",19
"Jul 6, 2012",54
"Jul 7, 2012",53
"Jul 8, 2012",65
"Jul 9, 2012",51
"Jul 10, 2012",34
"Jul 11, 2012",43
"Jul 12, 2012",17
"Jul 13, 2012",36
"Jul 14, 2012",43
"Jul 15, 2012",22
"Jul 16, 2012",17
"Jul 17, 2012",17
"Jul 18, 2012",26
"Jul 19, 2012",17
"Jul 20, 2012",18
"Jul 21, 2012",21
"Jul 22, 2012",0
"Jul 23, 2012",34
"Jul 24, 2012",67
"Jul 25, 2012",34
"Jul 26, 2012",25
"Jul 27, 2012",26
"Jul 28, 2012",21
"Jul 29, 2012",21
"Jul 30, 2012",0
"Jul 31, 2012",0
"Aug 1, 2012",17
"Aug 2, 2012",17
"Aug 3, 2012",36
"Aug 4, 2012",21
"Aug 5, 2012",32
"Aug 6, 2012",0
"Aug 7, 2012",17
"Aug 8, 2012",17
"Aug 9, 2012",17
"Aug 10, 2012",18
"Aug 11, 2012",21
"Aug 12, 2012",21
"Aug 13, 2012",17
"Aug 14, 2012",25
"Aug 15, 2012",17
"Aug 16, 2012",0
"Aug 17, 2012",0
"Aug 18, 2012",21
"Aug 19, 2012",0
"Aug 20, 2012",17
"Aug 21, 2012",33
"Aug 22, 2012",17
"Aug 23, 2012",17
"Aug 24, 2012",18
"Aug 25, 2012",21
"Aug 26, 2012",0
"Aug 27, 2012",50
"Aug 28, 2012",0
"Aug 29, 2012",0
"Aug 30, 2012",0
"Aug 31, 2012",0
"Sep 1, 2012",21
"Sep 2, 2012",32
"Sep 3, 2012",19
"Sep 4, 2012",32
"Sep 5, 2012",32
"Sep 6, 2012",16
"Sep 7, 2012",17
"Sep 8, 2012",0
"Sep 9, 2012",20
"Sep 10, 2012",16
"Sep 11, 2012",0
"Sep 12, 2012",16
"Sep 13, 2012",16
"Sep 14, 2012",0
"Sep 15, 2012",20
"Sep 16, 2012",20
"Sep 17, 2012",0
"Sep 18, 2012",16
