Date,GT_SearchIndex
"Apr 19, 2013",0
"Apr 20, 2013",0
"Apr 21, 2013",38
"Apr 22, 2013",0
"Apr 23, 2013",20
"Apr 24, 2013",0
"Apr 25, 2013",20
"Apr 26, 2013",21
"Apr 27, 2013",76
"Apr 28, 2013",63
"Apr 29, 2013",49
"Apr 30, 2013",49
"May 1, 2013",50
"May 2, 2013",0
"May 3, 2013",21
"May 4, 2013",89
"May 5, 2013",51
"May 6, 2013",100
"May 7, 2013",20
"May 8, 2013",30
"May 9, 2013",30
"May 10, 2013",85
"May 11, 2013",51
"May 12, 2013",79
"May 13, 2013",20
"May 14, 2013",30
"May 15, 2013",0
"May 16, 2013",51
"May 17, 2013",54
"May 18, 2013",39
"May 19, 2013",38
"May 20, 2013",20
"May 21, 2013",20
"May 22, 2013",20
"May 23, 2013",51
"May 24, 2013",22
"May 25, 2013",0
"May 26, 2013",0
"May 27, 2013",37
"May 28, 2013",20
"May 29, 2013",20
"May 30, 2013",20
"May 31, 2013",32
"Jun 1, 2013",0
"Jun 2, 2013",77
"Jun 3, 2013",20
"Jun 4, 2013",20
"Jun 5, 2013",20
"Jun 6, 2013",21
"Jun 7, 2013",21
"Jun 8, 2013",0
"Jun 9, 2013",26
"Jun 10, 2013",80
"Jun 11, 2013",20
"Jun 12, 2013",0
"Jun 13, 2013",21
"Jun 14, 2013",22
"Jun 15, 2013",27
"Jun 16, 2013",40
"Jun 17, 2013",31
"Jun 18, 2013",20
"Jun 19, 2013",20
"Jun 20, 2013",21
"Jun 21, 2013",22
"Jun 22, 2013",0
"Jun 23, 2013",0
"Jun 24, 2013",21
"Jun 25, 2013",0
"Jun 26, 2013",41
"Jun 27, 2013",21
"Jun 28, 2013",32
"Jun 29, 2013",0
"Jun 30, 2013",0
"Jul 1, 2013",21
"Jul 2, 2013",21
"Jul 3, 2013",21
"Jul 4, 2013",26
"Jul 5, 2013",25
"Jul 6, 2013",39
"Jul 7, 2013",39
"Jul 8, 2013",20
"Jul 9, 2013",20
"Jul 10, 2013",20
"Jul 11, 2013",0
"Jul 12, 2013",21
"Jul 13, 2013",51
"Jul 14, 2013",25
"Jul 15, 2013",0
"Jul 16, 2013",20
"Jul 17, 2013",41
"Jul 18, 2013",21
"Jul 19, 2013",21
"Jul 20, 2013",0
"Jul 21, 2013",0
"Jul 22, 2013",0
"Jul 23, 2013",0
"Jul 24, 2013",20
"Jul 25, 2013",21
"Jul 26, 2013",22
"Jul 27, 2013",0
"Jul 28, 2013",0
"Jul 29, 2013",21
"Jul 30, 2013",20
