Date,GT_SearchIndex
Jan 2010,100
Feb 2010,38
Mar 2010,42
Apr 2010,32
May 2010,20
Jun 2010,30
Jul 2010,14
Aug 2010,52
Sep 2010,27
Oct 2010,20
Nov 2010,32
Dec 2010,13
Jan 2011,26
Feb 2011,54
Mar 2011,29
Apr 2011,41
May 2011,12
Jun 2011,31
Jul 2011,27
Aug 2011,12
Sep 2011,16
Oct 2011,18
Nov 2011,11
Dec 2011,28
Jan 2012,20
Feb 2012,22
Mar 2012,14
Apr 2012,20
May 2012,16
Jun 2012,4
Jul 2012,14
Aug 2012,21
Sep 2012,15
Oct 2012,14
Nov 2012,11
Dec 2012,14
Jan 2013,23
Feb 2013,23
Mar 2013,13
Apr 2013,23
May 2013,13
Jun 2013,7
Jul 2013,10
Aug 2013,10
Sep 2013,16
Oct 2013,17
Nov 2013,16
Dec 2013,19
Jan 2014,11
Feb 2014,13
Mar 2014,14
Apr 2014,28
May 2014,25
Jun 2014,13
Jul 2014,16
Aug 2014,14
Sep 2014,17
Oct 2014,10
Nov 2014,26
Dec 2014,27
Jan 2015,16
Feb 2015,23
Mar 2015,21
Apr 2015,24
May 2015,26
Jun 2015,11
Jul 2015,19
Aug 2015,12
Sep 2015,27
Oct 2015,43
Nov 2015,30
Dec 2015,15
Jan 2016,24
Feb 2016,12
Mar 2016,26
Apr 2016,40
May 2016,24
