ISBN,Publish Date,Season,Season (int)
0316068047,2008-05-06,Spring,1
0061160873,2008-05-06,Spring,1
0307265730,2008-04-01,Spring,1
0061537934,2008-05-13,Spring,1
0061236217,2008-05-20,Spring,1
0399154973,2008-06-01,Summer,2
0061374229,2008-06-24,Summer,2
1594489580,2008-07-08,Summer,2
0385492723,2008-07-29,Summer,2
0060746769,2008-08-05,Summer,2
034550898X,2008-08-12,Summer,2
0446527874,2008-08-19,Summer,2
0399155139,2008-08-26,Summer,2
0399155333,2008-09-02,Autumn,3
0778325776,2008-09-02,Autumn,3
0425223434,2008-09-02,Autumn,3
1400064759,2008-09-09,Autumn,3
0451462289,2008-09-16,Autumn,3
0446579823,2008-09-23,Autumn,3
0765312948,2008-09-30,Autumn,3
0670019917,2008-10-01,Autumn,3
0688163181,2008-10-07,Autumn,3
1416550402,2008-10-07,Autumn,3
1416565116,2008-10-14,Autumn,3
0446579939,2008-10-14,Autumn,3
0778325911,2008-10-21,Autumn,3
0312533780,2008-11-11,Autumn,3
0375422757,2008-11-11,Autumn,3
0743270428,2008-11-11,Autumn,3
0399155228,2009-01-06,Winter,0
141659485X,2009-01-27,Winter,0
0765304961,2009-02-03,Winter,0
0316018724,2009-02-03,Winter,0
1439129177,2009-02-10,Winter,0
0553807137,2009-02-09,Winter,0
0399155163,2009-02-17,Winter,0
1416563792,2009-02-24,Winter,0
034550075X,2009-03-03,Spring,1
039915521X,2009-03-03,Spring,1
0805087729,2009-03-03,Spring,1
0345501551,2009-03-10,Spring,1
0399155503,2009-03-03,Spring,1
0060590319,2009-03-31,Spring,1
0670020419,2009-03-31,Spring,1
0316007021,2009-03-17,Spring,1
0385524927,2009-04-07,Spring,1
0385523998,2009-04-14,Spring,1
0399155481,2009-04-21,Spring,1
0743296419,2009-04-21,Spring,1
1416591478,2009-04-21,Spring,1
0061143448,2009-04-27,Spring,1
0345505336,2009-05-05,Spring,1
0312369727,2009-05-12,Spring,1
0345495144,2009-05-12,Spring,1
0345509064,2009-05-12,Spring,1
0399155422,2009-05-12,Spring,1
0451462564,2009-06-02,Summer,2
1416597883,2009-06-09,Summer,2
0553805134,2009-06-23,Summer,2
0375424490,2009-06-23,Summer,2
0399155783,2009-06-29,Summer,2
0399155805,2009-06-30,Summer,2
1565125967,2009-01-06,Winter,0
0778326438,2009-07-07,Summer,2
0553804545,2009-07-07,Summer,2
1400065119,2009-07-14,Summer,2
0758212720,2009-07-14,Summer,2
0441017150,2009-07-14,Summer,2
0399155716,2009-07-21,Summer,2
1439138311,2009-07-21,Summer,2
0312359322,2009-08-04,Summer,2
1594202176,2009-08-11,Summer,2
0525950974,2009-08-18,Summer,2
0399155651,2009-09-08,Autumn,3
0385340273,2009-09-08,Autumn,3
0307393860,2009-09-22,Autumn,3
1401340903,2009-09-22,Autumn,3
0385528701,2009-10-06,Autumn,3
0670020869,2009-10-06,Autumn,3
141659888X,2009-10-06,Autumn,3
0312383282,2009-10-13,Autumn,3
0061231401,2009-10-13,Autumn,3
0345509129,2009-10-13,Autumn,3
0060837381,2009-10-20,Autumn,3
0316018775,2009-10-27,Autumn,3
0345486560,2009-11-03,Autumn,3
1439128243,2009-11-16,Autumn,3
0385341962,2009-11-24,Autumn,3
0312368038,2009-12-29,Winter,0
0307269981,2009-12-29,Winter,0
0345501578,2009-12-29,Winter,0
0399155864,2010-01-12,Winter,0
0765322722,2010-01-12,Winter,0
1416563083,2010-01-06,Winter,0
0399156429,2010-02-16,Winter,0
0375425144,2010-04-06,Spring,1
0679403930,2010-04-13,Spring,1
0399155988,2010-04-20,Spring,1
0441017835,2010-04-20,Spring,1
1416586288,2010-04-27,Spring,1
1439150001,2010-04-27,Spring,1
0061161705,2010-05-04,Spring,1
0399156399,2010-05-11,Spring,1
0312591063,2010-05-18,Spring,1
0425230155,2010-06-15,Summer,2
0060852577,2010-06-15,Summer,2
1439172773,2010-06-22,Summer,2
0385521383,2010-07-06,Summer,2
006194100X,2010-07-13,Summer,2
0553807153,2010-07-20,Summer,2
044101769X,2010-07-06,Summer,2
0345495969,2010-08-03,Summer,2
039915566X,2010-08-10,Summer,2
052595130X,2010-08-10,Summer,2
0061231428,2010-08-17,Summer,2
0316065781,2010-09-14,Autumn,3
052595144X,2010-09-14,Autumn,3
0446550000,2010-09-13,Autumn,3
0061432717,2010-09-08,Autumn,3
042523567X,2010-09-27,Autumn,3
0307394972,2010-09-28,Autumn,3
0312567456,2010-10-05,Autumn,3
038551638X,2010-10-01,Autumn,3
0399156240,2010-10-19,Autumn,3
0743296435,2010-10-19,Autumn,3
0451463153,2010-10-19,Autumn,3
0399156259,2010-11-02,Autumn,3
0399156267,2010-11-09,Autumn,3
0670021474,2010-11-09,Autumn,3
052595161X,2010-11-15,Autumn,3
0312380755,2010-11-23,Autumn,3
0553807218,2010-11-30,Autumn,3
0061779725,2010-12-28,Winter,0
080211928X,2011-01-04,Winter,0
