ISBN,Title,FirstDate,LastDate
<<<<<<< HEAD
316037915,TICK TOCK,2/13/2011,4/3/2011
446572993,THE INNOCENT,5/6/2012,7/22/2012
385341679,SHADOWFEVER,2/6/2011,3/6/2011
61374229,THE STORY OF EDGAR SAWTELLE,6/29/2008,4/5/2009
547386079,IMAGINE,4/8/2012,4/10/2016
038553714X,GRAY MOUNTAIN,11/9/2014,4/12/2015
031621096X,HOPE TO DIE,12/14/2014,3/1/2015
345527771,WICKED BUSINESS,7/8/2012,8/19/2012
316018767,THE 8TH CONFESSION,5/17/2009,7/12/2009
670021652,COMMITTED,1/24/2010,4/10/2016
1451606273,THE LIBERTY AMENDMENTS,9/1/2013,4/10/2016
62255657,THE OCEAN AT THE END OF THE LANE,7/7/2013,9/29/2013
805096663,KILLING KENNEDY,10/21/2012,4/10/2016
399164456,THE COLLECTOR,5/4/2014,6/8/2014
385539436,ROGUE LAWYER,11/8/2015,3/20/2016
141659485X,THE CHRISTMAS SWEATER,11/30/2008,1/10/2010
399155872,BLACK HILLS,7/26/2009,8/23/2009
812993543,BETWEEN THE WORLD AND ME,8/2/2015,4/10/2016
1595231129,ONE NATION,6/8/2014,4/10/2016
446577898,THE INNER CIRCLE,1/30/2011,3/13/2011
679405070,THE PASSAGE OF POWER,5/20/2012,4/10/2016
1455520616,SEE ME,11/1/2015,3/13/2016
345527682,SMOKIN&#39; SEVENTEEN,7/10/2011,9/4/2011
1455521205,THE TARGET,5/11/2014,7/13/2014
045146317X,CHANGES,4/25/2010,5/16/2010
307408841,IN THE GARDEN OF BEASTS,5/29/2011,4/10/2016
316018724,CROSS COUNTRY,12/7/2008,3/1/2009
743296435,HOUSE RULES,3/21/2010,6/13/2010
067443000X,CAPITAL IN THE TWENTY-FIRST CENTURY,4/13/2014,4/10/2016
312383282,FINGER LICKIN&#39; FIFTEEN,7/12/2009,8/30/2009
743270428,EXTREME MEASURES,11/9/2008,1/11/2009
446573019,ZERO DAY,11/20/2011,1/8/2012
399157212,PORT MORTUARY,12/19/2010,1/30/2011
345531051,BLUE,2/7/2016,3/13/2016
345546881,THE ONE AND ONLY,6/8/2014,7/20/2014
553807056,ODD HOURS,6/8/2008,7/20/2008
425247546,KISS THE DEAD,6/24/2012,7/1/2012
399158618,THE THIEF,3/25/2012,4/22/2012
316097497,11TH HOUR,5/27/2012,7/29/2012
425222195,BLOOD NOIR,6/15/2008,7/6/2008
141659518X,AMERICAN ASSASSIN,10/31/2010,1/9/2011
147674906X,I&#39;VE GOT YOU UNDER MY SKIN,4/20/2014,5/25/2014
316228532,THE CASUAL VACANCY,10/14/2012,1/20/2013
1401324436,HEAT RISES,10/9/2011,12/4/2011
743296419,HANDLE WITH CARE,3/22/2009,5/24/2009
312600844,FREEDOM,11/21/2010,2/13/2011
1400069807,SALT SUGAR FAT,3/17/2013,4/10/2016
441020313,DEAD RECKONING,5/22/2011,7/31/2011
525952926,WINTER OF THE WORLD,10/7/2012,2/10/2013
