ISBN,Title,FirstDate,LastDate
0316037915,TICK TOCK,2011-02-13,2011-04-03
0446572993,THE INNOCENT,2012-05-06,2012-07-22
0385341679,SHADOWFEVER,2011-02-06,2011-03-06
0061374229,THE STORY OF EDGAR SAWTELLE,2008-06-29,2009-04-05
038553714X,GRAY MOUNTAIN,2014-11-09,2015-04-12
031621096X,HOPE TO DIE,2014-12-14,2015-03-01
0345527771,WICKED BUSINESS,2012-07-08,2012-08-19
0316018767,THE 8TH CONFESSION,2009-05-17,2009-07-12
0062255657,THE OCEAN AT THE END OF THE LANE,2013-07-07,2013-09-29
0399164456,THE COLLECTOR,2014-05-04,2014-06-08
0385539436,ROGUE LAWYER,2015-11-08,2016-03-20
141659485X,THE CHRISTMAS SWEATER,2008-11-30,2010-01-10
0399155872,BLACK HILLS,2009-07-26,2009-08-23
0446577898,THE INNER CIRCLE,2011-01-30,2011-03-13
1455520616,SEE ME,2015-11-01,2016-03-13
0345527682,SMOKIN&#39; SEVENTEEN,2011-07-10,2011-09-04
1455521205,THE TARGET,2014-05-11,2014-07-13
045146317X,CHANGES,2010-04-25,2010-05-16
0316018724,CROSS COUNTRY,2008-12-07,2009-03-01
0743296435,HOUSE RULES,2010-03-21,2010-06-13
0312383282,FINGER LICKIN&#39; FIFTEEN,2009-07-12,2009-08-30
0743270428,EXTREME MEASURES,2008-11-09,2009-01-11
0446573019,ZERO DAY,2011-11-20,2012-01-08
0399157212,PORT MORTUARY,2010-12-19,2011-01-30
0345531051,BLUE,2016-02-07,2016-03-13
0345546881,THE ONE AND ONLY,2014-06-08,2014-07-20
0553807056,ODD HOURS,2008-06-08,2008-07-20
0425247546,KISS THE DEAD,2012-06-24,2012-07-01
0399158618,THE THIEF,2012-03-25,2012-04-22
0316097497,11TH HOUR,2012-05-27,2012-07-29
0425222195,BLOOD NOIR,2008-06-15,2008-07-06
141659518X,AMERICAN ASSASSIN,2010-10-31,2011-01-09
147674906X,I&#39;VE GOT YOU UNDER MY SKIN,2014-04-20,2014-05-25
0316228532,THE CASUAL VACANCY,2012-10-14,2013-01-20
1401324436,HEAT RISES,2011-10-09,2011-12-04
0743296419,HANDLE WITH CARE,2009-03-22,2009-05-24
0312600844,FREEDOM,2010-11-21,2011-02-13
0441020313,DEAD RECKONING,2011-05-22,2011-07-31
0525952926,WINTER OF THE WORLD,2012-10-07,2013-02-10
1455559822,MEMORY MAN,2015-05-10,2015-07-19
0399170898,BROTHERHOOD IN DEATH,2016-02-21,2016-03-20
0399155848,KNOCKOUT,2009-07-05,2009-08-02
0525951652,FALL OF GIANTS,2010-10-17,2011-02-27
0553801473,A DANCE WITH DRAGONS,2011-07-31,2013-09-22
0385344341,NEVER GO BACK,2013-09-22,2013-11-10
0525953485,SIX YEARS,2013-04-07,2013-05-19
1594633665,THE GIRL ON THE TRAIN,2015-02-01,2016-04-10
0316407046,CROSS JUSTICE,2015-12-13,2016-02-07
1451658907,THE WIND THROUGH THE KEYHOLE,2012-05-13,2012-07-08
030758836X,GONE GIRL,2012-06-24,2014-05-04
0399162372,DEADLINE,2014-10-26,2014-11-30
0399155341,THE HELP,2009-03-29,2011-09-25
0399163840,X,2015-09-13,2015-10-25
031621129X,UNLUCKY 13,2014-05-25,2014-07-13
0670024783,THE INVENTION OF WINGS,2014-01-26,2015-03-15
1451668945,DADDY&#39;S GONE A HUNTING,2013-04-28,2013-06-02
141654383X,THE LAST PATRIOT,2008-07-20,2008-09-07
0316018783,CROSS FIRE,2009-12-06,2010-02-28
0399158820,CALCULATED IN DEATH,2013-03-17,2013-04-07
0307273571,A WEEK IN WINTER,2013-03-03,2013-05-05
140006712X,DREAMS OF JOY,2011-06-19,2011-07-17
0385340567,NOTHING TO LOSE,2008-06-22,2008-07-20
1416570861,JUST TAKE MY HEART,2009-04-26,2009-06-07
0425241130,HIT LIST,2011-06-26,2011-07-10
0399160450,THREAT VECTOR,2012-12-23,2013-02-10
0446195502,DIVINE JUSTICE,2008-11-23,2009-02-08
0399155678,WICKED PREY,2009-05-31,2009-06-28
044654759X,SAFE HAVEN,2010-10-03,2011-03-06
0316018708,SAIL,2008-06-29,2008-08-24
0451235843,LOVER REBORN,2012-04-15,2012-04-29
0385504225,THE LOST SYMBOL,2009-10-04,2010-04-18
1451668864,THE LOST YEARS,2012-04-22,2012-05-27
0446547654,THE BEST OF ME,2011-10-30,2012-03-04
0316211230,NYPD RED 2,2014-04-13,2014-05-18
0670023485,SHADOW OF NIGHT,2012-07-29,2012-09-16
0446564087,DELIVER US FROM EVIL,2010-05-09,2010-06-27
031621082X,12TH OF NEVER,2013-05-19,2013-06-30
0316097543,KILL ME IF YOU CAN,2011-09-18,2011-10-30
0385344317,WORTH DYING FOR,2010-11-07,2010-12-12
0399158278,TAKEN,2012-02-12,2012-03-11
0316198730,KILL ALEX CROSS,2011-12-04,2012-02-05
0399157697,SHOCK WAVE,2011-10-23,2011-11-20
0316405345,INVISIBLE,2014-07-13,2014-08-31
044101819X,SILVER BORNE,2010-04-18,2010-05-09
031603617X,CROSS FIRE,2010-12-05,2011-02-13
1476727651,DOCTOR SLEEP,2013-10-13,2014-03-16
0756404738,THE WISE MAN&#39;S FEAR,2011-03-20,2011-06-19
0399157689,STOLEN PREY,2012-06-03,2012-07-15
0743294297,BEST FRIENDS FOREVER,2009-08-02,2009-09-13
045146379X,GHOST STORY,2011-08-14,2011-09-18
0345530888,UNTIL THE END OF TIME,2013-02-17,2013-03-17
0312655479,HOW THE LIGHT GETS IN,2013-09-15,2013-10-06
0345542967,TRICKY TWENTY-TWO,2015-12-06,2016-01-17
0399155686,THE DEFECTOR,2009-08-09,2009-09-06
0399158308,CELEBRITY IN DEATH,2012-03-11,2012-04-08
0553807714,77 SHADOW STREET,2012-01-15,2012-02-05
0804178771,MAKE ME,2015-09-27,2015-11-08
1416595201,KILL SHOT,2012-02-26,2012-04-29
1476754454,MR. MERCEDES,2014-06-22,2014-09-07
006232005X,THE HEIST,2014-08-03,2014-09-14
0525955097,FOOL ME ONCE,2016-04-10,Not Found
0399156585,THE REMBRANDT AFFAIR,2010-08-08,2010-09-19
0399157239,DEAD OR ALIVE,2010-12-26,2011-03-20
0446580848,THE PANTHER,2012-11-04,2012-12-16
1439172269,THE SHADOW OF YOUR SMILE,2010-05-02,2010-06-13
0316069485,THE REVERSAL,2010-10-24,2010-11-28
0385535147,THE RACKETEER,2012-11-11,2013-03-17
0525953094,EDGE OF ETERNITY,2014-10-05,2015-01-18
0399155163,SCARPETTA,2008-12-21,2009-03-01
0399176608,OFF THE GRID,2016-03-27,2016-04-10
0399167064,BIG LITTLE LIES,2014-08-17,2015-03-15
0316036226,WORST CASE,2010-02-21,2010-04-18
0062073168,THE ENGLISH GIRL,2013-08-04,2013-09-15
0446573108,THE SIXTH MAN,2011-05-08,2011-07-03
0385537131,SYCAMORE ROW,2013-11-10,2014-05-18
0345542886,TAKEDOWN TWENTY,2013-12-08,2014-01-26
0385344430,WRITTEN IN MY OWN HEART&#39;S BLOOD,2014-06-29,2014-09-14
0316407062,NYPD RED 4,2016-02-14,2016-03-27
1455521213,THE HIT,2013-05-12,2013-07-14
0525952276,STAY CLOSE,2012-04-08,2012-05-06
0399157034,TREACHERY IN DEATH,2011-03-13,2011-04-03
0385517831,THE ASSOCIATE,2009-02-15,2009-06-14
0316211176,PRIVATE BERLIN,2013-02-10,2013-03-17
0062409859,GO SET A WATCHMAN,2015-08-02,2016-04-10
0316069353,THE FIFTH WITNESS,2011-04-24,2011-06-26
0374158460,FREEDOM,2010-09-19,2011-01-16
0312362153,ACHERON,2008-08-24,2008-09-21
0312349513,FEARLESS FOURTEEN,2008-07-06,2008-08-24
031640702X,14TH DEADLY SIN,2015-05-24,2015-07-12
0316089516,THE POSTCARD KILLERS,2010-09-05,2010-10-17
1101965495,THE FORCE AWAKENS,2016-01-24,2016-02-28
1250022061,THE LONG WAY HOME,2014-09-14,2014-10-05
0316036218,NOW YOU SEE HER,2011-07-17,2011-09-11
0345499026,THE FORCE UNLEASHED,2008-09-07,2008-10-05
1451627289,11/22/63,2011-11-27,2012-05-13
0451464400,COLD DAYS,2012-12-16,2013-01-20
030726999X,THE GIRL WHO KICKED THE HORNET&#39;S NEST,2010-06-13,2012-03-04
0062320130,THE ENGLISH SPY,2015-07-19,2015-09-13
0385344333,A WANTED MAN,2012-09-30,2012-11-25
0525953493,MISSING YOU,2014-04-06,2014-05-18
0385354282,THE GIRL IN THE SPIDER&#39;S WEB,2015-09-20,2016-01-24
1476770387,REVIVAL,2014-11-30,2015-02-08
